資料範圍,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比,職業災害人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數),風險等級,漂綠標籤,網絡中心性,異常標籤
上市,2021,1229,聯華,4077.0,3804.0,738.0,673.0,0.22,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1231,聯華食,787.0,661.0,634.0,534.0,0.3,21.0,0.0001,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1232,大統益,1996.0,1758.0,1591.0,1382.0,0.2727,1.0,0.0069,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1233,天仁,480.0,394.0,509.0,455.0,0.4546,16.0,0.0116,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1234,黑松,935.0,773.0,779.0,577.0,0.1266,4.0,0.007,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1235,興泰,492.0,410.0,395.0,406.0,0.3333,1.0,0.05,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1236,宏亞,598.0,500.0,487.0,457.0,0.4722,6.0,0.0096,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1256,鮮活果汁-KY,0.0,0.0,0.0,0.0,0.3415,24.0,0.0266,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1301,台塑,1475.0,1276.0,1506.0,1403.0,0.0651,6.0,0.0009,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1303,南亞,1401.0,1242.0,1410.0,1369.0,0.0421,8.0,0.0007,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1304,台聚,1858.0,1609.0,1471.0,1318.0,0.0108,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1305,華夏,1366.0,1188.0,1190.0,1165.0,0.0333,4.0,0.006,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1307,三芳,806.0,675.0,627.0,600.0,0.1,1.0,0.0013,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1308,亞聚,1714.0,1462.0,1439.0,1346.0,0.0312,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1309,台達化,1568.0,1353.0,1366.0,1280.0,0.1538,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1310,台苯,1374.0,1117.0,1059.0,1018.0,0.2,2.0,0.0107,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1312,國喬,1916.0,1567.0,1590.0,1426.0,0.2727,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1313,聯成,1789.0,1544.0,1281.0,891.0,0.31,2.0,0.0089,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1314,中石化,1395.0,1234.0,989.0,899.0,0.0592,1.0,0.0007,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1315,達新,765.0,615.0,599.0,520.0,0.442,2.0,0.0056,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1316,上曜,1401.0,1285.0,669.0,592.0,0.0714,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1319,東陽,679.0,564.0,619.0,532.0,0.13,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1321,大洋,909.0,752.0,809.0,750.0,0.0806,4.0,0.0088,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1323,永裕,701.0,596.0,597.0,513.0,0.2566,1.0,0.0014,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1324,地球,713.0,591.0,556.0,456.0,0.2963,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1325,恆大,560.0,452.0,473.0,389.0,0.5,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1326,台化,1744.0,1515.0,1528.0,1435.0,0.0075,3.0,0.0002,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1337,再生-KY,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1338,廣華-KY,0.0,0.0,0.0,0.0,0.274,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1339,昭輝,679.0,567.0,510.0,449.0,0.42,3.0,0.0112,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1340,勝悅-KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1341,富林-KY,0.0,0.0,0.0,0.0,0.22,11.0,0.0117,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1342,八貫,812.0,718.0,643.0,510.0,0.3333,7.0,0.02,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1402,遠東新,1286.0,1103.0,976.0,849.0,0.19,101.0,0.005,0,0.0,0.0,0.0,高風險,漂綠,0.0005330490405117271,正常
上市,2021,1409,新纖,907.0,778.0,761.0,611.0,0.0889,3.0,0.0016,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1410,南染,673.0,580.0,537.0,547.0,0.4118,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1413,宏洲,741.0,623.0,648.0,614.0,0.18,2.0,0.0085,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1414,東和,675.0,557.0,564.0,527.0,0.176,4.0,0.019,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1416,廣豐,1613.0,1250.0,766.0,781.0,0.4286,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1417,嘉裕,663.0,558.0,551.0,446.0,0.5384,3.0,0.01,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1418,東華,994.0,694.0,542.0,478.0,0.1429,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1419,新紡,792.0,672.0,652.0,564.0,0.56,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1423,利華,742.0,619.0,508.0,442.0,0.3333,1.0,0.0149,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1432,大魯閣,377.0,297.0,430.0,364.0,0.333,18.0,0.029,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1434,福懋,600.0,504.0,567.0,507.0,0.17,14.0,0.0024,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1435,中福,827.0,757.0,1005.0,552.0,0.667,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1436,華友聯,1187.0,1005.0,866.0,842.0,0.0741,1.0,0.0185,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1437,勤益控,3654.0,3355.0,696.0,415.0,0.25,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1438,三地開發,843.0,724.0,468.0,443.0,0.4,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1439,雋揚,1548.0,1280.0,911.0,898.0,0.125,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1440,南紡,783.0,663.0,631.0,560.0,0.0961,9.0,0.008,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1441,大東,830.0,697.0,600.0,559.0,0.1875,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
