市場別,年份,公司代號,公司名稱,範疇一排放量,範疇一-資料邊界,範疇一-取得驗證,範疇二排放量,範疇二-資料邊界,範疇二-取得驗證,範疇三排放量,範疇三-資料邊界,範疇三-取得驗證,排放密集度,溫室氣體排放密集度-單位,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1233,天仁,0.0,,,2617.0,本公司天仁茶業股份有限公司直營單位,,0.0,,,2.0646,分母以營業額為百萬元之計算,0,無漂綠跡象,高風險,正常
上市,2021,1234,黑松,9166.63,台北總公司、中壢廠與斗六廠,ISO 14001,15150.75,台北總公司、中壢廠與斗六廠,ISO 14001,6256.43,台北總公司、中壢廠與斗六廠,ISO 14001,0.16,產品,0,無漂綠跡象,高風險,正常
上市,2021,1235,興泰,919.2922,依108年製成排放量檢測結果換算110年母子公司排放量,,181.634,依110年台灣電力公司記錄排放量資訊之母子公司排放量,,0.0,,,0.0268,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1236,宏亞,2878.027,母公司,,6477.88,母公司,,0.0,,,5.31,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1256,鮮活果汁-KY,3076.7318,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,ISO 14001,15070.9039,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,ISO 14001,775.8442,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,,0.0041,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1301,台塑,3966548.0,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 9001,4668706.0,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 9001,11332873.0,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 9001,6205.4,範疇一+範疇二/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.66,0,無漂綠跡象,高風險,異常
上市,2021,1303,南亞,2499081.0,揭露母公司110年度溫室氣體排放量。,ISO 9001,3636122.0,揭露母公司110年度溫室氣體排放量。,ISO 9001,14868345.0,揭露母公司110年度溫室氣體排放量。,ISO 9001,0.028,單位:噸CO2e/110年個體營業額(千元)；其他說明：本次申報之營業額均以母公司當期個體營收(千元)計算。,0,無漂綠跡象,高風險,異常
上市,2021,1304,台聚,16383.8,台聚高雄廠,ISO 9001,131602.71,台聚高雄廠,ISO 9001,186.55,台聚高雄廠,ISO 9001,0.595,產品,0,無漂綠跡象,高風險,異常
上市,2021,1305,華夏,158309.26,華夏頭份廠、華聚林園廠、台氯林園廠。,ISO 9001,227328.96,華夏頭份廠、華聚林園廠、台氯林園廠。,ISO 9001,0.0,,,0.34,產品,0,無漂綠跡象,高風險,異常
上市,2021,1307,三芳,10395.64,母公司,ISO 9001,23791.92,母公司,ISO 9001,0.0,,,44.98,百萬營業額,0,無漂綠跡象,高風險,異常
上市,2021,1308,亞聚,10133.69,亞聚林園廠,ISO 9001,102834.27,亞聚林園廠,ISO 9001,231370.03,亞聚林園廠,ISO 9001,0.83,產品,0,無漂綠跡象,高風險,異常
上市,2021,1309,台達化,14935.0,前鎮廠、林園廠、頭份廠、中山廠,,75481.0,前鎮廠、林園廠、頭份廠、中山廠,,0.0,,,2.702,產品,0,無漂綠跡象,高風險,異常
上市,2021,1310,台苯,331800.81,台苯高雄廠,ISO 9001,33435.71,台苯高雄廠,ISO 9001,0.0,,,0.957,產品,0,無漂綠跡象,高風險,正常
上市,2021,1312,國喬,526801.9867,國喬石油化學股份有限公司高雄廠,ISO 9001,14043.1488,國喬石油化學股份有限公司高雄廠,ISO 9001,0.0,,,29.21,營業額,0,無漂綠跡象,高風險,異常
上市,2021,1313,聯成,28627.8097,聯成林園廠,ISO 9001,10938.5049,聯成林園廠,ISO 9001,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1314,中石化,1703474.0,僅母公司,ISO 9001,204332.0,僅母公司,ISO 9001,1758458.0,僅母公司,ISO 9001,0.0001,"範疇1+2=1,907,806公噸CO2e，營業收入：35,163,380仟元",0,無漂綠跡象,高風險,異常
上市,2021,1315,達新,0.0,,,3160.0,母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,異常
上市,2021,1316,上曜,151.516,僅母公司,,134.974,僅母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,異常
上市,2021,1319,東陽,9736.21,母公司,,49926.15,母公司,,0.0,,,4.34,百萬營業額,0,無漂綠跡象,高風險,異常
上市,2021,1321,大洋,4313.0,母公司,,41425.0,母公司,,0.0,,,0.3222,產品,0,無漂綠跡象,高風險,異常
上市,2021,1323,永裕,543.99,永裕塑膠:227.46噸、上海永裕:309.91噸、威瑪精密:6.62噸,,33421.473,台灣永裕:13498.83噸、 上海永裕:19856.753噸、 威瑪精密:65.89噸,,3246.73,僅 母公司台灣永裕,,0.0072,台灣永裕 13726.28(噸)/1907428千元=0.0072,0,無漂綠跡象,高風險,異常
上市,2021,1324,地球,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1325,恆大,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
