市場別,年份,公司代號,公司名稱,董事席次,獨立董事席次,女性董事席次,女性董事比例,董事會出席率,董事進修比率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2021,1540,喬福,7.0,3.0,1.0,0.1429,1.0,0.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1541,錩泰,5.0,2.0,3.0,0.6,0.98,0.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1558,伸興,10.0,3.0,0.0,0.0,0.9865,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1560,中砂,7.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1568,倉佑,9.0,3.0,1.0,0.1111,0.918,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1582,信錦,7.0,4.0,1.0,0.1429,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1583,程泰,9.0,3.0,1.0,0.1111,0.9753,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1587,吉茂,7.0,3.0,0.0,0.0,0.9524,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1589,永冠-KY,11.0,3.0,1.0,0.0909,0.9865,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1590,亞德客-KY,9.0,3.0,1.0,0.0011,0.9074,0.4444,0.0005330490405117271,中風險,正常,正常
上市,2021,1597,直得,8.0,3.0,3.0,0.375,0.9583,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1598,岱宇,6.0,3.0,1.0,0.17,0.98,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1603,華電,5.0,3.0,1.0,0.2,0.8857,0.6,0.0005330490405117271,低風險,正常,正常
上市,2021,1604,聲寶,7.0,3.0,0.0,0.0,0.974,0.7143,0.0005330490405117271,低風險,正常,正常
上市,2021,1605,華新,11.0,4.0,2.0,0.1818,0.9659,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1608,華榮,7.0,3.0,1.0,0.1429,0.8333,0.8571,0.0005330490405117271,低風險,正常,正常
上市,2021,1609,大亞,9.0,4.0,2.0,0.22,0.96,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1611,中電,10.0,2.0,1.0,0.1,0.87,0.9,0.0005330490405117271,中風險,正常,正常
上市,2021,1612,宏泰,8.0,3.0,1.0,0.125,0.9821,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1614,三洋電,13.0,3.0,3.0,0.23,0.8974,0.0769,0.0005330490405117271,中風險,正常,正常
上市,2021,1615,大山,5.0,2.0,2.0,0.4,0.66,0.2,0.0005330490405117271,低風險,正常,正常
上市,2021,1616,億泰,7.0,3.0,1.0,0.1429,1.0,0.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1617,榮星,7.0,3.0,1.0,0.14,0.89,0.57,0.0005330490405117271,低風險,正常,正常
上市,2021,1618,合機,9.0,3.0,2.0,0.22,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1626,艾美特-KY,9.0,3.0,1.0,0.1111,0.971,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1702,南僑,9.0,3.0,2.0,0.2222,0.6543,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1707,葡萄王,12.0,4.0,5.0,0.42,0.97,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1708,東鹼,10.0,3.0,0.0,0.0,0.88,0.9,0.0005330490405117271,中風險,正常,正常
上市,2021,1709,和益,19.0,4.0,2.0,0.105,0.87,0.0,0.0005330490405117271,高風險,漂綠,異常
上市,2021,1710,東聯,11.0,3.0,1.0,0.091,0.95,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1711,永光,11.0,3.0,1.0,0.09,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1712,興農,9.0,3.0,1.0,0.1111,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1713,國化,2.0,3.0,2.0,0.4,1.0,1.0,0.0005330490405117271,低風險,正常,異常
上市,2021,1714,和桐,9.0,3.0,1.0,0.11,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1717,長興,10.0,3.0,2.0,0.2,0.9383,0.4,0.0005330490405117271,中風險,正常,正常
上市,2021,1718,中纖,9.0,3.0,0.0,0.0,0.9444,0.7778,0.0005330490405117271,中風險,正常,正常
上市,2021,1720,生達,7.0,3.0,2.0,0.2857,0.9608,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1721,三晃,6.0,3.0,1.0,0.1667,0.8088,0.6667,0.0005330490405117271,低風險,正常,正常
上市,2021,1722,台肥,9.0,3.0,2.0,0.2222,0.9382,0.7777,0.0005330490405117271,中風險,正常,正常
上市,2021,1723,中碳,9.0,3.0,1.0,0.1111,0.952,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1725,元禎,7.0,3.0,1.0,0.14,0.98,0.14,0.0005330490405117271,低風險,正常,正常
上市,2021,1726,永記,7.0,3.0,1.0,0.1429,0.9429,0.7143,0.0005330490405117271,低風險,正常,正常
上市,2021,1727,中華化,10.0,4.0,1.0,0.1,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1730,花仙子,7.0,3.0,4.0,0.5714,0.9464,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1731,美吾華,13.0,3.0,4.0,0.3077,0.9615,0.5385,0.0005330490405117271,中風險,正常,異常
上市,2021,1732,毛寶,7.0,3.0,4.0,0.5714,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1733,五鼎,6.0,4.0,1.0,0.167,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1734,杏輝,11.0,3.0,1.0,0.0909,0.9692,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1735,日勝化,9.0,3.0,0.0,0.0,0.9783,0.1111,0.0005330490405117271,中風險,正常,正常
上市,2021,1736,喬山,11.0,3.0,3.0,0.27,0.977,0.95,0.0005330490405117271,中風險,正常,正常
上市,2021,1737,臺鹽,8.0,3.0,2.0,0.25,1.0,0.88,0.0005330490405117271,中風險,正常,正常
上市,2021,1752,南光,7.0,3.0,1.0,0.1428,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1760,寶齡富錦,8.0,3.0,1.0,0.11,0.98,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1762,中化生,7.0,3.0,2.0,0.2857,0.9643,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1773,勝一,9.0,3.0,2.0,0.0222,0.87,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1776,展宇,9.0,3.0,1.0,0.1111,0.9861,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1783,和康生,7.0,3.0,3.0,0.4285,1.0,1.0,0.0005330490405117271,低風險,正常,正常
