市場別,報告年度,公司代號,公司名稱,再生能源使用率,資料範圍,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1456,怡華,0.0,未使用,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1457,宜進,0.0,僅母公司,Unknown,0.0012067578439259854,可能漂綠,高風險,正常
上市,2021,1459,聯發,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1460,宏遠,0.0,母公司,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1463,強盛新,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1464,得力,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1465,偉全,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1466,聚隆,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1467,南緯,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1468,昶和,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1470,大統新創,0.0,合併財務報表之母子公司之桃園廠區,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1471,首利,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1472,三洋實業,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1473,台南,40.0,包含合併財務報表之母子公司,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1474,弘裕,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1475,業旺,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1476,儒鴻,0.0,包含合併財務報表之母子公司,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1477,聚陽,1.1,台北總公司,ISO 14001,0.007642799678197908,無漂綠跡象,低風險,正常
上市,2021,1503,士電,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1504,東元,2.4,台灣所有廠區,Unknown,0.0008045052292839903,無漂綠跡象,高風險,正常
上市,2021,1506,正道,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1512,瑞利,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1513,中興電,7.53,母公司110年度,Unknown,0.0012067578439259854,無漂綠跡象,高風險,正常
上市,2021,1514,亞力,0.0,nan,Unknown,0.0012067578439259854,可能漂綠,高風險,正常
上市,2021,1515,力山,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1516,川飛,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1517,利奇,0.0,nan,Unknown,0.0012067578439259854,可能漂綠,高風險,正常
