市場別,報告年度,公司代號,公司名稱,法說會次數,治理專區連結,網絡中心性,風險等級,異常標籤
上市,2021,1530,亞崴,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1531,高林股,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1532,勤美,6.0,0,0.0005330490405117271,中風險,正常
上市,2021,1533,車王電,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1535,中宇,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1536,和大,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1537,廣隆,3.0,0,0.0005330490405117271,中風險,正常
上市,2021,1538,正峰,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1539,巨庭,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1540,喬福,0.0,0,0.0005330490405117271,低風險,正常
上市,2021,1541,錩泰,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1558,伸興,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1560,中砂,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1568,倉佑,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1582,信錦,3.0,0,0.0005330490405117271,中風險,正常
上市,2021,1583,程泰,0.0,0,0.0005330490405117271,低風險,正常
上市,2021,1587,吉茂,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1589,永冠-KY,7.0,0,0.0005330490405117271,中風險,正常
上市,2021,1590,亞德客-KY,31.0,0,0.0005330490405117271,高風險,異常
上市,2021,1597,直得,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1598,岱宇,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1603,華電,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1604,聲寶,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1605,華新,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1608,華榮,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1609,大亞,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1611,中電,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1612,宏泰,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1614,三洋電,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1615,大山,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1616,億泰,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1617,榮星,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1618,合機,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1626,艾美特-KY,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1702,南僑,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1707,葡萄王,7.0,0,0.0005330490405117271,中風險,正常
上市,2021,1708,東鹼,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1709,和益,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1710,東聯,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1711,永光,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1712,興農,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1713,國化,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1714,和桐,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1717,長興,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1718,中纖,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1720,生達,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1721,三晃,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1722,台肥,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1723,中碳,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1725,元禎,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1726,永記,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1727,中華化,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1730,花仙子,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1731,美吾華,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1732,毛寶,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1733,五鼎,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1734,杏輝,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1735,日勝化,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1736,喬山,6.0,0,0.0005330490405117271,中風險,正常
上市,2021,1737,臺鹽,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1752,南光,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1760,寶齡富錦,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1762,中化生,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1773,勝一,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1776,展宇,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1783,和康生,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1786,科妍,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1789,神隆,5.0,0,0.0005330490405117271,中風險,正常
上市,2021,1795,美時,8.0,0,0.0005330490405117271,中風險,異常
上市,2021,1802,台玻,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1805,寶徠,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1806,冠軍,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1808,潤隆,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1809,中釉,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1810,和成,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1817,凱撒衛,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1903,士紙,1.0,0,0.0005330490405117271,低風險,正常
