市場別,報告年度,公司代號,公司名稱,用水量,資料範圍,用水密集度,用水密集度-單位,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1464.0,得力,2964.0,僅母公司,2964.0,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1465.0,偉全,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1466.0,聚隆,182737.0,母公司,3.72,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1467.0,南緯,4309.0,母公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1468.0,昶和,0.0,nan,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1470.0,大統新創,1235482.0,合併財務報表之母子公司之桃園廠區,171.0,產量,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1471.0,首利,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1472.0,三洋實業,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1473.0,台南,311623.0,包含合併財務報表之母子公司,0.015,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1474.0,弘裕,180011.0,母公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1475.0,業旺,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1476.0,儒鴻,2570840.0,包含合併財務報表之母子公司,0.0716,營業額,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1477.0,聚陽,7534.0,台北總公司,0.2604,營業額(百萬元),ISO 14001,0.005621301775147929,無漂綠跡象,高風險,正常
上市,2021,1503.0,士電,208600.0,"""環境面資訊以母公司之電裝廠、新豐廠、重電廠為主，不包含台北總公司。""",0.0075,百萬公升/百萬元營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1504.0,東元,184150.0,台灣所有廠區,8.0,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1506.0,正道,0.0,nan,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1512.0,瑞利,22827.0,母公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1513.0,中興電,17028.0,母公司110年度,0.9447,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1514.0,亞力,25533.0,母公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1515.0,力山,0.0,nan,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
