市場別,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2023,1529,樂事綠能,3,2,1.0,3,0.8364,0.0005452562704471102,低風險,正常,正常
上市,2023,1530,亞崴,4,4,1.0,4,0.9412,0.0005452562704471102,中風險,正常,正常
上市,2023,1531,高林股,4,100,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1532,勤美,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1533,車王電,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1535,中宇,3,3,0.8333,3,0.8889,0.0005452562704471102,低風險,正常,正常
上市,2023,1536,和大,4,4,1.0,4,0.9286,0.0005452562704471102,中風險,正常,正常
上市,2023,1537,廣隆,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1538,正峰,4,4,1.0,4,0.9428,0.0005452562704471102,中風險,正常,正常
上市,2023,1539,巨庭,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1540,喬福,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1541,錩泰,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1558,伸興,3,3,0.8889,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1560,中砂,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1563,巧新,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1568,倉佑,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1582,信錦,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1583,程泰,4,4,0.9,4,0.9375,0.0005452562704471102,中風險,正常,正常
上市,2023,1587,吉茂,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1589,永冠-KY,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1590,亞德客-KY,4,4,1.0,4,0.9583,0.0005452562704471102,中風險,正常,正常
上市,2023,1597,直得,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1598,岱宇,4,4,1.0,4,0.97,0.0005452562704471102,中風險,正常,正常
上市,2023,1603,華電,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1604,聲寶,3,3,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1605,華新,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1608,華榮,3,3,0.8889,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1609,大亞,4,4,1.0,4,0.9286,0.0005452562704471102,中風險,正常,正常
上市,2023,1611,中電,3,3,1.0,3,0.8889,0.0005452562704471102,低風險,正常,正常
上市,2023,1612,宏泰,3,3,0.8333,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1614,三洋電,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1615,大山,3,3,1.0,4,0.925,0.0005452562704471102,低風險,正常,正常
上市,2023,1616,億泰,3,3,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1617,榮星,3,2,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1618,合機,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1626,艾美特-KY,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1702,南僑,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
