"報告年度:2022","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物量(公噸)-有害廢棄物量(公噸)","非有害廢棄物(公噸)-非有害廢棄物(公噸)","總重量(有害+非有害)(公噸)-總重量(有害+非有害)(公噸)","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","取得驗證-取得驗證"
"=""1709""","和益","0.0600","178.0200","178.0800","僅母公司(工廠)","0.0200","百萬元營業額",""
"=""1710""","東聯","0.0300","640.6000","640.6300","母公司","0.0501","百萬元營業額","ISO 14001"
"=""1711""","永光","1693.4000","8804.0000","10497.4000","永光化學一~四廠、新竹全通科技、蘇州永光","1.2000","百萬元產值","ISO 14001"
"=""1712""","興農","0.0000","1947.8300","1947.8300","母公司王田廠區(王田廠、王田二廠、生物工廠)","0.1300","植物保護佰萬元營收","ISO 14001"
"=""1713""","國化","0.0000","0.0000","188.8000","屏南分公司","0.0003","產品",""
"=""1714""","和桐","0.0000","133.6200","133.6200","高雄廠","0.0037","產品","ISO 9001, ISO 14001及ISO 45001"
"=""1717""","長興","46661.0000","7598.0000","54259.0000","母公司及包含合併財務報表之國內與國外子公司","0.0841","產品",""
"=""1718""","中纖","0.0000","21486.1000","21486.1000","111年度申報量","4.0811","營業額5264762仟元",""
"=""1720""","生達","574.5836","202.2150","776.7986","生達一廠+生達二廠","28.0200","百萬元營業額",""
"=""1721""","三晃","129.4900","1741.5800","1871.0700","母公司","0.0819","產品","確信準則公報第一號"
"=""1722""","台肥","301.7300","710.3500","1012.0800","母公司 台中廠 花蓮廠 苗栗廠","0.1230","產品",""
"=""1723""","中碳","18.2400","194.0800","212.3200","母公司","0.0203","百萬元營業額","ISO 14001"
"=""1725""","元禎","0.0000","0.0000","21.5710","母公司","0.0029","百萬元營業額",""
"=""1726""","永記","672.8500","1590.9700","2263.8200","20220101~20221231","無，無統計相關數據","","ISO9001及ISO14001"
"=""1727""","中華化","189.7320","1451.5520","1641.2840","桃園一廠、桃園二廠","0.0100","產品",""
"=""1730""","花仙子","0.2260","78.9420","79.1680","包含合併財務報表之母子公司","0.0280","百萬元營業額",""
"=""1731""","美吾華","0.0000","12.1200","12.1200","台北總公司、台中及高雄服務中心及楊梅工廠及物流中心","無，無統計相關數據","",""
"=""1732""","毛寶","0.0000","521.2700","521.2700","母公司","0.8900","噸CO2e/百萬營收",""
"=""1733""","五鼎","2.6110","220.6000","223.2110","母子公司","0.0001","千元營收",""
"=""1734""","杏輝","12.9900","204.5200","217.5100","母公司","0.0001","仟元營業額","ISO 14001"
"=""1735""","日勝化","10.1200","498.6500","508.7700","母公司(未包含再利用廢棄物101.497公噸)","0.0276","產品",""
"=""1736""","喬山","0.0000","27.3700","27.3700","母公司","0.0008","個體營業收入（百萬元）","ISO 14001"
"=""1737""","臺鹽","0.0000","305.8600","305.8600","環境會計資料","305.8600","百萬元營業額",""
"=""1752""","南光","12.2000","214.7630","226.9630","總公司","11.6991","廢棄物有害12.2+非有害214.763公噸  / 營業額19.4億 = 11.6991",""
"=""1760""","寶齡富錦","0.0000","0.0000","359.3592","僅母公司","0.1498","百萬元營業額",""
"=""1762""","中化生","1549.0000","525.0000","2074.0000","母公司","0.0100","產品",""
"=""1773""","勝一","0.0000","829.7900","829.7900","母公司","0.0039","產品","ISO 14001"
"=""1776""","展宇","86.6900","492.9600","579.6500","母公司(第1廠及第2廠)","0.7393","營業額",""
"=""1783""","和康生","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1786""","科妍","0.0480","41.0000","41.0480","母公司","無，無統計相關數據","",""
"=""1789""","神隆","1891.0000","306.0000","2197.0000","僅母公司","0.7160","百萬元營業額",""
"=""1795""","美時","128.4000","210.9000","339.3000","母公司及重要子公司生產基地及研發中心","0.2300","千萬元營業額",""
"=""1802""","台玻","0.0000","0.0000","22340.7600","111年度 ESG報告書","無，無統計相關數據","","ISO 14001"
"=""1805""","寶徠","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1806""","冠軍","0.0000","17633.8700","17633.8700","工廠","0.0018","產品","ISO 14001"
