"報告年度:2022","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物量(公噸)-有害廢棄物量(公噸)","非有害廢棄物(公噸)-非有害廢棄物(公噸)","總重量(有害+非有害)(公噸)-總重量(有害+非有害)(公噸)","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","取得驗證-取得驗證"
"=""2633""","台灣高鐵","0.0000","0.0000","6306.7300","12處車站及5個基地","無，無統計相關數據","",""
"=""2634""","漢翔","429.2961","1898.0830","2327.3791","母公司","0.0770","百萬元營業額","ISO 14001"
"=""2636""","台驊控股","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2637""","慧洋-KY","0.0000","0.0000","2357.0000","包含合併財務報表之母子公司","0.0900","百萬元營業額",""
"=""2642""","宅配通","0.0000","0.0000","416.4327","台灣宅配通股份有限公司","無，無統計相關數據","",""
"=""2645""","長榮航太","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2646""","星宇航空","","","","","","","N/A"
"=""2701""","萬企","0.0000","0.0000","240.0000","以萬華企業為主體","1.0600","百萬元營業額",""
"=""2702""","華園","0.0000","0.0000","13.5000","僅為母公司","21990.0000","千元營業額",""
"=""2704""","國賓","0.0000","178.0432","178.0432","2022/1/1~2022/12/31以國賓大飯店為主體，包含台北、新竹、高雄三館","0.0001","千元營業額",""
"=""2705""","六福","0.0000","0.0000","901.7523","母公司之主要營運地，包含總公司及南港分公司","0.0005","千元營業額",""
"=""2706""","第一店","0.0000","10.2000","10.2000","臺北市中山區的第一大飯店","0.0351","百萬元營業額",""
"=""2707""","晶華","0.0000","0.0000","1520.7700","台北晶華","0.5024","百萬元營業額",""
"=""2712""","遠雄來","0.0000","0.0000","205.0000","母公司","0.3846","百萬元營業額",""
"=""2722""","夏都","0.0000","204.0700","204.0700","母公司","無，無統計相關數據","",""
"=""2723""","美食-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2727""","王品","0.0000","0.0000","5311.8000","含王品、王莆(子公司)、群品(子公司)(每餐227g*人次*12個月)","14.9100","含王品、王莆(子公司)、群品(子公司)事業廢棄物量(公克)/實質連鎖營業額(元)","各店廢油採用環保署合格廠商。"
"=""2731""","雄獅","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2739""","寒舍","0.0000","0.0000","2256.6200","母公司","0.0007","仟元營業額",""
"=""2748""","雲品","0.0000","0.0000","340.5700","母公司","0.1642","百萬元營業額",""
"=""2753""","八方雲集","0.0000","2163.4600","2163.4600","母公司淡水廠、西螺廠、高雄廠","0.4000","百萬元營業額",""
"=""2801""","彰銀","0.0000","0.0000","102.4600","總行(臺北大樓)","0.0030","百萬元營業額","ISO 14001"
"=""2809""","京城銀","0.0000","12.3100","12.3100","母公司總行大樓","42.9100","人均廢棄物(公斤)",""
"=""2812""","台中銀","0.0000","0.0000","60.1000","民權大樓","無，無統計相關數據","",""
"=""2816""","旺旺保","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2820""","華票","0.0000","0.0000","0.0650","總公司與5家分公司","無，無統計相關數據","",""
"=""2832""","台產","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2834""","臺企銀","0.0000","0.0000","19.1500","總行大樓","0.0300","總行大樓740人","ISO 14001"
"=""2836""","高雄銀","0.0000","0.0000","35.5700","母公司","0.0100","百萬元營業額",""
"=""2838""","聯邦銀","0.0000","0.0000","155.9490","全行","0.0117","百萬元營業額",""
"=""2845""","遠東銀","0.0000","165.9500","165.9500","母公司國內據點+一家子公司(遠銀資產)","0.0649","人",""
"=""2849""","安泰銀","0.0000","0.0000","46.0733","僅母公司共53個據點之資訊設備及廢紙銷毀。","無，無統計相關數據","",""
"=""2850""","新產","0.0000","0.0000","41.2500","總部大樓","0.0062","服務",""
"=""2851""","中再保","0.0000","0.0000","7.6820","母公司","0.0004","百萬元營業額",""
"=""2852""","第一保","0.0000","0.0000","74.7900","全公司","無，無統計相關數據","",""
"=""2855""","統一證","0.0000","0.0000","43.1107","總部大樓","62.5400","人均垃圾量","ISO 14001"
"=""2867""","三商壽","0.0000","0.0000","14.9700","全公司","無，無統計相關數據","",""
"=""2880""","華南金","0.0000","0.0000","194.9300","華南金控及華南銀行總行大樓","0.0040","百萬元營業額","ISO 14001"
"=""2881""","富邦金","0.0000","0.0000","902.0000","包含富邦金控及子公司富邦人壽、台北富邦銀行、富邦產險、富邦證券、日盛銀行(2023/4併入北富銀)、日盛證券(2023/4併入富邦證券)、富邦期貨、富邦育樂、富邦運動場館、富邦投信、富邦投顧、北富銀創投。","0.0230","員工人數",""
"=""2882""","國泰金","0.0000","0.0000","1187.5400","包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募)之國內據點","26.0400","總員工數(公斤/每人)","ISO 14001"
"=""2883""","凱基金","0.0000","0.0000","672.6300","開發金控所有據點及中國人壽北京代表處，未涵蓋包含中國人壽國內所有通訊處及海外子公司所有據點","無，無統計相關數據","","ISO 14001"
"=""2884""","玉山金","0.0000","692.2140","692.2140","100%持有合併財務報表之母子公司，其中95%國內據點有實際盤查，另外5%海外據點為推估值","0.0089","百萬元營業額","ISO 14001、ISO 14064"
"=""2885""","元大金","0.0000","0.0000","651.7000","合併財務報表之母子公司(全台灣營業據點)","57.9100","人均","ISO14064-1"
"=""2886""","兆豐金","0.0000","0.0000","314.5320","包含合併財務報表母子公司之國內所有據點","0.0363","國內員工人數","ISAE 3000"
"=""2887""","台新金","0.0000","0.0000","795.7100","歷年台新金控的廢棄物總重量依內湖、金控及建北大樓的廢棄物總量為計算基礎，再依三棟大數佔全金控的員工數比例推估。","0.0120","百萬元營業額","永續報告書資訊委由BSI查證，取得GRI Standards準則-核心選項與AA1000AS v3第二類型中度保證等級查證"
"=""2888""","新光金","0.0000","1799.8800","1799.8800","包含合併財務報表之母子公司","0.1200","人均廢棄物製造量",""
"=""2889""","國票金","0.0000","0.0000","56.4020","涵蓋包含合併財務報表之母子公司，包括國票金融控股公司、國際票券金融股份有限公司、國票綜合證券股份有限公司、國票證券投資顧問股份有限公司、國票期貨股份有限公司、國票證創業投資股份有限公司、國票創業投資股份有限公司、國旺國際融資租賃有限公司、IBF Financial Holding Co., Ltd.，共計48個據點。","0.0100","佰萬元淨收益","ISO 14001"
"=""2890""","永豐金","0.0000","579.7700","579.7700","金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資） 之國內所有營運據點納入統計範疇。","0.0667","每人","AA1000 ASv3第二類型高度保證等級"
"=""2891""","中信金","0.0000","0.0000","1317.0000","中信銀行全據點及各子公司之總部","0.0980","人","ISO14064-1:2018"
"=""2892""","第一金","0.0000","0.0000","279.0000","國內全數營運據點","0.0290","員工人數","ISO 14001"
"=""2897""","王道銀行","0.0000","54.0900","54.0900","母公司全球營運據點","0.0500","每人","ISO 14001"
"=""2901""","欣欣","0.0000","185.6200","185.6200","111年度總廢棄物產出量","0.2700","百萬元營業額",""
"=""2903""","遠百","0.0000","0.0000","8316.0000","僅母公司","14.5800","億元營業額",""
"=""2904""","匯僑","0.0000","0.0000","39.2200","臺中港&#11972;&#12038;及&#11972;五槽區","無，無統計相關數據","",""
"=""2905""","三商","無，尚未盤查","無，尚未盤查","無，尚未盤查","","無，尚未盤查","",""
"=""2906""","高林","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2908""","特力","0.0000","0.0000","467.7340","特&#12050;(股)總部及楊梅物流中&#12092;","0.0310","百萬營收",""
"=""2910""","統領","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2911""","麗嬰房","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2912""","統一超","0.0000","0.0000","43992.1200","實際統計包含總部大樓及1,110家門市、推估值包含9處區辦公室及5,521家門市。","5.8000","門市數","AA1000 type2"
"=""2913""","農林","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2915""","潤泰全","無，本公司辦公場所之廢棄物均為員工日常辦公所產生之辦公廢棄物總量不高，且因係委託大樓管理單位與其他大樓用戶共同處理，統計困難。且經評估後認為廢棄物項目不具重大性故 暫不予統計。營業場所之父器物輛尚在統計中。","無，本公司辦公場所之廢棄物均為員工日常辦公所產生之辦公廢棄物總量不高，且因係委託大樓管理單位與其他大樓用戶共同處理，統計困難。且經評估後認為廢棄物項目不具重大性故 暫不予統計。營業場所之父器物輛尚在統計中。","無，本公司辦公場所之廢棄物均為員工日常辦公所產生之辦公廢棄物總量不高，且因係委託大樓管理單位與其他大樓用戶共同處理，統計困難。且經評估後認為廢棄物項目不具重大性故 暫不予統計。營業場所之父器物輛尚在統計中。","","無，無統計相關數據","",""
"=""2923""","鼎固-KY","0.0000","0.0000","23410.3000","包含上海打浦橋日月光中心、上海嘉定日月光中心、上海御華山以及重慶日月光中心，共計四據點。","0.2539","新台幣十萬元營收",""
"=""2929""","淘帝-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2939""","永邑-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2945""","三商家購","0.0000","0.0000","330.0000","物流部紙箱回收數據","無，無統計相關數據","",""
"=""3002""","歐格","0.0000","4.3500","4.3500","母公司","0.0086","百萬元營業額",""
"=""3003""","健和興","0.0000","0.0000","167.4900","僅母公司","0.0000","產品","ISO 14001"
"=""3004""","豐達科","169.3800","242.6500","412.0300","僅母公司","0.1800","百萬元營業額","ISO9001、ISO14001"
"=""3005""","神基","1449.4200","4097.8300","5547.2500","涵蓋神基投控暨其八家子公司","5.0875","百萬元營業額","GRI Standards依循選項與AA 1000 ASv3 Type1 中度保證等級的要求"
"=""3006""","晶豪科","0.4695","19.5700","20.0395","母公司","0.0012","百萬元營業額",""
"=""3008""","大立光","33.0000","3284.0000","3317.0000","母公司","0.0700","百萬元營業額",""
"=""3010""","華立","0.0000","0.0000","108.0400","僅母公司","無，無統計相關數據","",""
"=""3011""","今皓","無，策劃評估中","無，策劃評估中","無，策劃評估中","","無，策劃評估中","",""
"=""3013""","晟銘電","99.0000","2251.0000","2350.0000","包含合併財務報表之母子公司","無，無統計相關數據","",""
"=""3014""","聯陽","1.9600","19.8400","21.8000","母公司","0.0042","百萬元營業額",""
"=""3015""","全漢","56.4350","427.4300","483.8650","母公司與部分子公司","0.0320","百萬元營業額",""
"=""3016""","嘉晶","5.2000","174.4500","179.6500","僅母公司","無，無統計相關數據","","ISO 14001"
"=""3017""","奇鋐","445.6800","7947.3360","8393.0160","台灣高雄、深圳奇宏/興奇宏、東莞明鑫/興奇宏、成都奇宏、武漢奇宏/興奇宏、嘉善萬順達 &#160;、越南","0.1498","廢棄物總量：8393.016噸 / 56016.554TWD'M=0.1498",""
"=""3018""","隆銘綠能","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3019""","亞光","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3021""","鴻名","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3022""","威強電","1.1000","0.0000","1.1000","僅母公司","0.0002","百萬元營業額",""
"=""3023""","信邦","112.8400","1150.6600","1263.5000","集團100%持股之11個據點","0.0037","112.8400(公噸)/30,574.800 (新台幣百萬元,2022年營收)= 0.0037","ISO 14001"
"=""3024""","憶聲","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3025""","星通","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3026""","禾伸堂","379.3000","591.5800","970.8800","母公司","0.0600","產品","ISO 14001"
"=""3027""","盛達","0.0000","0.0000","8.4500","僅母公司","無，無統計相關數據","",""
"=""3028""","增你強","0.0000","0.0000","28.5000","範圍包含台灣區內湖總部辦公室","0.0015","百萬元營業額",""
"=""3029""","零壹","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3030""","德律","0.0000","114.5475","114.5475","母公司","0.0391","產品","TUV:ISO 9001"
"=""3031""","佰鴻","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3032""","偉訓","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3033""","威健","0.0000","0.0000","97.8900","威健在台灣營運據點為主（臺北內湖總公司、內湖倉儲中心、桃園倉儲中心及中南部聯絡處(新竹、臺中及高雄)","0.0034","百萬元營業額",""
"=""3034""","聯詠","0.0000","372.3300","372.3300","母公司","0.0034","百萬元營業額",""
"=""3035""","智原","1.5400","22.9800","24.5200","母公司","0.0020","百萬元營業額",""
"=""3036""","文曄","0.0000","143.6000","143.6000","包含合併財務報表母子公司之台灣各營運據點，並新增香港及新加坡物流中心。","0.0036","樓地板面積(平方公尺)",""
"=""3037""","欣興","0.0000","0.0000","121125.0000","母公司及部份子公司","0.8600","百萬元營業額","ISO 14001"
"=""3038""","全台","32.0000","211.0000","243.0000","母公司及東莞廠","0.0220","PCS",""
"=""3040""","遠見","0.0000","500.0000","500.0000","母公司","無，無工廠，無生產行為","",""
"=""3041""","揚智","0.0000","34.0000","34.0000","僅母公司","0.0008","產品",""
"=""3042""","晶技","237.6900","115.1000","352.7900","台灣晶技平鎮廠","0.0333","以個體營收計算，單位：新台幣百萬元","ISO 14001"
"=""3043""","科風","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3044""","健鼎","114859.0000","35516.0000","150375.0000","健鼎-平鎮/無錫/湖北廠區","0.0023","百萬元營業額","由UL驗證的Zero Waste to Landfill Platinum Operations零填埋白金等級認證,詳見我司官網www.tripod-tech.com"
"=""3045""","台灣大","0.0000","1503.4188","1503.4188","2022","0.0000","千元營業額","依中華民國會計研究發展基金會確信準則公報第3000 號「非屬歷史性財務資訊查核或核閱之確信案件」進行有限確信"
"=""3046""","建碁","0.0000","0.0000","1.7900","含合併財務報表之母子公司","0.0000","百萬元營業額",""
"=""3047""","訊舟","0.0000","128.0000","128.0000","僅母公司","0.0320","百萬元營業額",""
"=""3049""","精金","0.0000","0.0000","1600.4300","母公司(南科廠)","0.0000","0.00000067公噸 ／營業額仟元",""
"=""3050""","鈺德","213.0000","18.0000","231.0000","僅母公司","無，無統計相關數據","","ISO 14001"
"=""3051""","力特","0.0000","568.6000","568.6000","母公司","0.1929","百萬元營業額","ISO 14001"
"=""3052""","夆典","0.0000","0.0000","0.7990","總部辦公處所(新北市中和區新民街112號4樓)","0.0009","營業額以百萬計",""
"=""3054""","立萬利","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3055""","蔚華科","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3056""","富華新","0.0000","7.0000","7.0000","資料涵蓋母公司及子公司總太營造","無，無統計相關數據","",""
"=""3057""","喬鼎","0.0000","0.0000","264.8600","母公司","0.3312","百萬元營業額",""
"=""3058""","立德","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3059""","華晶科","0.0000","0.0000","32.0000","母公司","無，無統計相關數據","",""
"=""3060""","銘異","0.0000","10.6000","10.6000","僅母公司桃園市龜山區範疇","10.6000","產品","ISO 14001"
"=""3062""","建漢","0.0000","0.0000","13.7000","111/1~111/12","無，無統計相關數據","",""
"=""3090""","日電貿","0.0000","0.0000","4.5900","母公司(新店廠辦)","無，無統計相關數據","",""
"=""3092""","鴻碩","0.0000","0.0000","60.7380","合併財務報表之重要子公司-鴻碩蘇州公司","0.0181","百萬元營業額","ISO 14001"
"=""3094""","聯傑","0.0000","0.0000","7.2210","母公司","0.0244","百萬元營業額",""
"=""3130""","一零四","0.0000","0.0000","30.7300","包含新店總公司","0.0420","員工人數",""
"=""3138""","耀登","0.0000","0.0000","6231.0000","僅母公司","54.0000","人",""
"=""3149""","正達","0.0000","0.0000","822.5880","母公司","0.9821","百萬元營業額","ISO 14001"
"=""3164""","景岳","0.0000","0.0000","64.4991","111年各月廢棄物總量(噸) 1月 6.4868 2月 4.2431 3月 9.2432 4月 11.1161 5月 7.5909 6月 4.0356 7月 3.4818 8月 4.2329 9月 0.5639 10月 0.6305 11月 4.2457 12月 8.6286","2.6103","產品",""
"=""3167""","大量","0.0000","60.9000","60.9000","僅母公司","無，無統計相關數據","",""
"=""3189""","景碩","8522.3000","5081.5900","13603.8900","母公司","0.0040","產品",""
"=""3209""","全科","0.0000","0.0000","50.6300","僅包含母公司的台灣總部、各點辦公室及物流倉儲。","0.0008","百萬元營業額",""
"=""3229""","晟鈦","58.0000","78.0000","136.0000","合併財務報表之母子公司","0.1700","百萬元營業額","ISO 14001"
"=""3231""","緯創","1205.5648","39097.7312","40303.2960","母公司及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠、昆山光電廠及馬來西亞廠)","0.0442","百萬元營業額","ISO 14001"
"=""3257""","虹冠電","0.0000","2.3780","2.3780","下腳料及其他廢棄材料","0.0047","百萬元營業額",""
"=""3266""","昇陽","0.0000","0.0000","18924.0000","僅母公司","0.2800","員工人數67人",""
"=""3296""","勝德","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3305""","昇貿","0.0000","0.0000","38.8000","營運控制法","1.1275","公噸/千元營業額","ISO 14001"
"=""3308""","聯德","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3311""","閎暉","14.8211","23.3130","38.1341","本公司之子公司(旭榮電子(深圳)有限公司)","0.1904","新台幣百萬元營業額",""
"=""3312""","弘憶股","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3321""","同泰","179.1500","311.9000","491.0500","母公司","0.0051","產品",""
"=""3338""","泰碩","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3346""","麗清","2.5238","19.9952","22.5190","母公司","無，無統計相關數據","","ISO 14001"
"=""3356""","奇偶","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3376""","新日興","100.8500","691.1900","792.0400","僅母公司","0.9100","十萬元營收",""
"=""3380""","明泰","0.0000","0.0000","81.7370","明泰科技新竹廠","0.0040","百萬元營業額",""
"=""3406""","玉晶光","0.0000","175.9700","175.9700","母公司","175.9700","百萬元營業額",""
"=""3413""","京鼎","20.9500","866.1500","887.1000","僅母公司","0.0597","百萬元營業額","ISO 14001"
"=""3416""","融程電","0.3323","24.6000","24.9323","僅母公司","無，無統計相關數據","",""
"=""3419""","譁裕","0.0000","54.0000","54.0000","僅母公司","無，無統計相關數據","",""
"=""3432""","台端","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3437""","榮創","4.2600","78.7100","82.9700","僅母公司","0.0380","百萬元營業額","ISO 14001"
"=""3443""","創意","1.0360","1.5400","2.5760","新竹總部","0.0001","百萬元營業額",""
"=""3447""","展達","0.0000","0.0000","267.0000","包含合併財務報表之母子公司","0.0445","百萬元營業額","ISO 14001"
"=""3450""","聯鈞","0.0000","0.0000","35.4260","母公司","無，無統計相關數據","",""
"=""3454""","晶睿","0.0000","32.3700","32.3700","168+192","無，無統計相關數據","",""
"=""3481""","群創","20639.0000","53096.0000","73735.0000","台灣母公司與大陸生產據點子公司的廢棄物總量","0.3296","百萬元營業額","ISO 14001"
"=""3494""","誠研","0.0000","0.0000","1.2000","包含合併財務報表之母子公司","無，與當年度銷售產品組合有關","",""
"=""3501""","維熹","6.2700","90.4200","96.6900","合併財務報表之母子公司(不含美日子公司)","0.0160","百萬元營業額",""
"=""3504""","揚明光","0.0000","0.0000","81.0000","僅母公司","無，無統計相關數據","",""
"=""3515""","華擎","0.0000","0.0000","7.3690","母公司","0.0236","員工人均廢棄物量",""
"=""3518""","柏騰","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3528""","安馳","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3530""","晶相光","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3532""","台勝科","1.9600","9305.5500","9307.5100","僅母公司","0.5680","百萬元營業額",""
"=""3533""","嘉澤","0.0000","0.0000","12710.0800","本公司及廣州、蘇州、中山子公司","0.4700","百萬元營業額","ISO 14001"
"=""3535""","晶彩科","0.0000","22.2000","22.2000","僅母公司","0.0152","百萬元營業額",""
"=""3543""","州巧","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3545""","敦泰","0.0000","0.0000","3.4700","台灣地區","0.0003","百萬元營業額",""
"=""3550""","聯穎","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3557""","嘉威","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3563""","牧德","0.0000","10.0000","10.0000","牧德科技股份有限公司","0.0048","百萬元營業額",""
"=""3576""","聯合再生","1352.4000","2414.0000","3766.4000","母公司(竹科廠、竹南廠及台南廠)","0.2300","百萬元營業額",""
"=""3583""","辛耘","0.0000","0.0000","314.4500","新竹縣湖口鄉中華路16號","無，無統計相關數據","",""
"=""3588""","通嘉","0.6800","2.4000","3.0800","母公司(竹北及板橋office)","0.0020","百萬元營業額",""
"=""3591""","艾笛森","0.7200","7.1900","7.9100","艾笛森中和所有廠區及子公司艾特中和廠區","0.0250","百萬元營業額",""
"=""3592""","瑞鼎","0.0000","0.0000","32.5500","母公司-瑞鼎科技","0.0014","百萬元營業額","ISO 14001"
"=""3593""","力銘","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3596""","智易","121.4620","990.8400","1112.3020","台灣總部、中國生產中心及越南生產中心","0.0240","百萬元營業額",""
"=""3605""","宏致","2.4595","20.4000","22.8595","此數據是上環保局網站申報的資料","無，生活垃圾佔比較大","",""
"=""3607""","谷崧","無，詳年報說明","無，詳年報說明","無，詳年報說明","","無，無統計相關數據","",""
"=""3617""","碩天","0.0000","21.7180","21.7180","僅母公司（碩天科技台北總部與台南工廠）","無，無統計相關數據","","ISO 14064-1"
"=""3622""","洋華","3.1400","45.2970","48.4370","母公司","31.3305","百萬元營業額",""
"=""3645""","達邁","8.3400","11668.1200","11676.4600","母公司","6.4321","百萬元營業額","ISO 14001"
"=""3652""","精聯","0.0000","5.3500","5.3500","僅母公司之文件紙張銷毀量及電子廢棄物數量","0.2857","億營業額",""
"=""3653""","健策","749.0000","676.0000","1425.0000","母公司","0.1400","百萬元營業額","ISO 14001"
"=""3661""","世芯-KY","0.0000","0.0000","1.3453","新竹辦公室","無，無統計相關數據","",""
"=""3665""","貿聯-KY","802.7000","6470.2000","7272.9000","涵蓋集團33個生產據點: 昆山貿聯廠、昆山翔光廠、常州廠、常州BCNC廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、新加 坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、加州廠、密西根廠、德州廠、墨西哥廠、加拿大廠、塞爾維亞廠、斯洛伐克廠、德國廠、法國廠、捷克廠、義大利廠等。","無，無統計相關數據","",""
"=""3669""","圓展","6.9000","96.1500","103.0500","母公司","0.0342","百萬元營業額","ISO 14001"
"=""3673""","TPK-KY","355.0900","7748.3700","8103.4600","包含合併財務報表之母子公司","0.0001","千元營業額","ISO 14001"
"=""3679""","新至陞","0.0000","16.3824","16.3824","111.01~111.12","0.0145","百萬元營業額","ISO 14001"
"=""3686""","達能","0.0000","0.0106","0.0106","包含合併財務報表之母子公司","0.0002","百萬元營業額",""
"=""3694""","海華","10.9490","92.3000","103.2490","上海子公司廠區","無，無統計相關數據","",""
"=""3701""","大眾控","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3702""","大聯大","0.0000","0.0000","225.8200","台灣地區統計範圍包含台北總部及林口倉庫， 海外地區統計範圍包含中國地區部份辦公室及香港、東莞倉庫","0.0600","各據點員工合計數","依照確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」進行有限確信驗證，指標揭露內容參照GRI 306-3"
"=""3703""","欣陸","0.0000","0.0000","33513.3000","母公司及主要營運子公司","1.0425","百萬元營業額","ISO 14001，驗證範圍：鳳山、安平及淡水水資源回收中心"
"=""3704""","合勤控","25.2600","674.8400","700.1000","合勤投資控股股份有限公司、盟創科技股份有限公司、合勤科技股份有限公司、兆勤科技股份有限公司","0.0300","百萬元營業額","ISO 14001"
"=""3705""","永信","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""3706""","神達","140.6500","2502.4600","2643.1100","合併財務報表之母子公司，含台灣營運、研發中心及廠區；中國主要生產據點：廣東順達廠區/江蘇昆達廠區/江蘇璽達廠區；美國加州組裝廠區：MiTAC Information SystemsCorp.","0.0553","百萬元營業額",""
"=""3708""","上緯投控","117.4100","373.7600","491.1700","上緯興業股份有限公司、上偉碳纖複合材料股份有限公司、磁震科技開發股份有限公司","0.1500","百萬元營業額","ISO 14001"
"=""3711""","日月光投控","25418.8900","49972.3800","75391.2700","日月光半導體製造股份有限公司(高雄廠、中壢廠、無錫廠、上海材料廠、上海月芯半導體、日本廠、韓國廠、 新加坡廠、馬來西亞廠、ISE Labs)、矽品精密工業股份有限公司(大豐廠、中山廠、中科廠、新竹廠、彰化廠、中工廠、蘇州廠)、環電股份有限公司(南投廠、張江廠、昆山廠、金橋廠、惠州廠、墨西哥廠)","1.1640","公斤/千美金營收","ISO14001; GRI; SASB"
"=""3712""","永崴投控","0.0000","0.0000","0.0000","母公司","0.0000","母公司為控股公司",""
"=""3714""","富采","9899.0400","2105.6300","12004.6700","邊界主要為富采投資控股股份有限公司，且包含旗下主要子公司晶元光電(包含台灣各廠區據點新竹、苗栗、台中與台南)及其下大陸子公司晶品光電(常州)、晶宇光電(廈門)及江蘇璨揚光電，隆達電子及其大陸子公司達亮電子與晶成半導體","無，無統計相關數據","",""
"=""3715""","定穎投控","41560.0000","11689.0000","53249.0000","資料涵蓋範圍包含合併財務報表之母子公司","3.4810","百萬元營業額","ISO 14001"
"=""3716""","中化控股","","","","","","","N/A"
"=""4104""","佳醫","0.0000","18.9460","18.9460","僅母公司","0.0000","仟元營業額",""
"=""4106""","雃博","0.0000","67.6750","67.6750","僅母公司(即土城廠區),因製程改變故已無有害廢棄物產生。","0.0536","百萬元營業額",""
"=""4108""","懷特","0.0000","6.0000","6.0000","台北公司及楊梅精製廠","無，無統計相關數據","",""
"=""4119""","旭富","493.6900","2277.2700","2770.9600","包含合併財務報表之母子公司","0.0071","產品",""
"=""4133""","亞諾法","0.0000","0.0000","5.7400","資料涵蓋範圍僅母公司。","無，詳年報說明","",""
"=""4137""","麗豐-KY","0.0000","0.0000","46.2770","子公司微碩(上海)日用品有限公司","無，無統計相關數據","",""
"=""4142""","國光生","0.0000","0.0000","531.1527","僅母公司","0.2359","百萬元營業額","ISO 14001"
"=""4148""","全宇生技-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""4155""","訊映","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
