報告年度:2021,議題:廢棄物管理,議題:水資源管理,議題:溫室氣體排放,議題:能源管理,報告年度:2022,報告年度:2023
,,,,,,
每百萬營業額(元),ISO 14001,,,,,
百萬元營業額,,,,,,
,,,,,,
百萬營業額,,,,,,
,,,,,,
營業額,UL2799 Zero Waste,,,,,
產能(仟米平方),ISO 14001,,,,,
0.0024公噸/百萬營業額,AA1000 Type 2 中度保證,,,,,
,,,,,,
,,,,,,
,ISO 14001,,,,,
,,,,,,
產量(噸),ISO 14001,,,,,
,,,,,,
,,,,,,
百萬營業額,ISO 14001,,,,,
,,,,,,
,,,,,,
百萬營業額,ISO 9001,,,,,
,,,,,,
百萬營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
營業額(億元),,,,,,
,,,,,,
製程,ISO14001 No. 44 104 082456,,,,,
,,,,,,
仟元營業額,ISO 14001,,,,,
營業額,,,,,,
員工人數(竹南廠),,,,,,
營業額,,,,,,
產品,,,,,,
營業額(新台幣仟元),ISO9001 ISO14001 QC080000,,,,,
"母公司110年存貨報廢,平均每千元報廢金額約0.0001公噸的廢棄物量",,,,,,
,,,,,,
,,,,,,
員工人數,,,,,,
坪數,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
廢棄物總量/(海勤船員+辦公室員工人數),,,,,,
,,,,,,
,ISO 14001,,,,,
分母為百萬元營業額,1.確信準則公報第一號 2.通過ISO 14001驗證,,,,,
淨收益佰萬元,ISO 14064-1:2018 類別4.3固體和液體廢棄物處理產生的排放,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
營業額,本公司一般事業廢棄物總重量經2021永續報告書驗證。,,,,,
產品,,,,,,
母公司的內湖營業所密集度為0.011 ton /樓地板面積(坪);母公司的南科廠為0.002 ton /投片面積(m2)；子公司(南京)為0.093 ton /投片量(片),,,,,,
產品 元/台,ISO 14001,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
單位:公噸/百萬營業額,ISO 14001,,,,,
,,,,,,
,UL2799,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
營業額,ISO 14001,,,,,
產品塑膠粒投料量(公斤),,,,,,
,,,,,,
總重量(噸)/營業額(百萬),,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
百萬營業額,ISO 14001,,,,,
,ISO 14001,,,,,
產品,,,,,,
百萬營業,ISO 14001,,,,,
,ISO 14001,,,,,
員工人數,,,,,,
百萬營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
營業額,ISO 14001,,,,,
,,,,,,
營業額(百萬)以台灣地區計算,ISO 14001,,,,,
百萬營業額,,,,,,
,,,,,,
產品,ISO 14001,,,,,
百萬產值,,,,,,
,,,,,,
百萬營業額,,,,,,
,,,,,,
新臺幣每億元營業收入,ISO 14001、UL 2799,,,,,
