報告年度:2021,議題:廢棄物管理,議題:水資源管理,議題:溫室氣體排放,議題:能源管理,報告年度:2022,報告年度:2023
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.3968,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0012,
,,,產品,,0.0065,
,,,營業額,,8.4400,
,,,百萬營業額,,3.4124,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,14.3706,
,,,每百萬元產值,,7.5800,
,,,百萬元營業額,,3.7500,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產品,,0.4900,
,,,百萬元營業額,,2.2000,
,,,百萬元營業額,,2.8200,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,1.9271,
,,,百萬元營業額,,1.5889,
,,,,,無，自行演算計算(依中小企業演算標準計算,
,,,千元營業額,,0.0020,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,2.8129,
,,,百萬元營業額,,15070.8100,
,,,百萬元營業額,,9.0973,
,,,產品,,2.8300,
,,,百萬元營業額,,7.1100,
,,,百萬元營業額,,9.9700,
,,,百萬元營業額,,27.1000,
,,,百萬元產值,,8.3000,
,,,百萬元營業額,,1.5492,
,,,範疇一+二,,5811.1940,
,,,產品,,0.6141,
,,,產品(公噸),,0.4270,
,,,總產品239638.7485公噸,,1.8327,
,,,百萬元營業額,,3.2100,
,,,產品,,1.4700,
,,,產品,,0.6460,
,,,百萬元營業額,,10.4870,
,,,百萬元營業額,,0.0652,
,,,電力使用量,,0.0496,
,,,產品,,0.0625,
,,,百萬元營業額,,9.0220,
,,,,,無，無統計相關數據,
,,,噸CO2e/百萬營收,,1.2500,
,,,千元營收,,0.0055,
,,,營業額仟元,,0.0038,
,,,產品,,0.4694,
,,,個體營業收入（百萬元）,,0.2070,
,,,百萬元營業額,,27889.0000,
,,,碳排量19593.6540噸/營業額19.4億=1009.9821,,1009.9821,
,,,百萬元營業額,,1.9517,
,,,產品,,0.0800,
,,,產品,,0.2859,
,,,營業額,,2.8449,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,6.5100,
,,,百萬元營業額,,1.4600,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產品,,0.0089,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.1389,
,,,,,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,
,,,公噸；工業用紙,,0.9140,
,,,產品,,1.2700,
,,,,,無，無統計相關數據,
,,,產品,,0.9300,
,,,百萬元營業額,,11.4400,
,,,產品,,2.3300,
,,,鋼胚生產量,,0.4240,
,,,百萬元營業額,,10.3600,
,,,產品,,0.1331,
,,,產品,,2.0843,
,,,產品,,0.0324,
,,,千元營業額,,0.0063,
,,,噸產品,,0.0865,
,,,產品,,0.1337,
,,,百萬元營業額,,19.4431,
,,,百萬元營業額,,3.7500,
,,,營業額單位：千元營業額,,0.0016,
,,,產品,,0.2000,
,,,百萬元營業額,,4.5600,
,,,百萬元營業額,,5.4980,
,,,千元營業額,,0.0066,
,,,產品,,0.3121,
,,,,,無，無統計相關數據,
,,,產品,,0.0690,
,,,生產量,,0.1332,
,,,百萬元營業額,,0.3429,
,,,,,無，無資料,
,,,百萬元營業額,,5.5368,
,,,產品,,0.1600,
,,,產品,,0.6021,
,,,百萬元營業額,,6.7200,
,,,千組產品,,0.7149,
,,,產品,,5.0900,
,,,,,無，無統計相關數據,
,,,產品,,1.2893,
,,,每噸產品,,0.9900,
,,,產品,,1.0100,
,,,產品,,2.5800,
,,,產品,,1.1500,
,,,百萬元營業額,,1.3210,
,,,百萬元營業額,,4.4580,
,,,百萬元營業額,,6.5452,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬營業額,,0.5623,
,,,產品,,0.4060,
,,,百萬元營業額,,1.0839,
,,,人數,,26.6000,
,,,"22,753,512仟元產值",,28704.1140,
,,,百萬元營業額,,1.1318,
,,,人均溫室氣體排放量 (公噸-CO2 e /人),,2.8560,
,,,百萬元營業額,,2.5833,
,,,,,無，無統計相關數據,
,,,,,無，目前仍在輔導學習階段，數據蒐集可能誤差，故尚未計算單位排放強度。,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產品,,0.0047,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.1659,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,1.2400,
,,,產品,,2.0035,
,,,wafer-m2,,7.9100,
,,,百萬元營業額,,5.2597,
,,,產值(單位：百萬美金),,17.0800,
,,,百萬元營業額,,1.3600,
,,,百萬元營業額,,11.0600,
,,,百萬元營業額,,1.0107,
,,,產品,,0.0280,
,,,百萬元營業額,,0.8700,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0361,
,,,百萬元營業額,,0.1650,
,,,百萬營業額,,42.8900,
,,,百萬元營業額,,0.0059,
,,,百萬元營業額,,5.4819,
,,,百萬元營業額,,5.1230,
,,,百萬元營業額,,0.0365,
,,,員工人數,,2.8242,
,,,千元營業額,,0.0090,
,,,公斤,,0.7800,
,,,百萬元營業額,,9.1000,
,,,產品,,18.4400,
,,,layer(層-晶圓光罩),,0.0132,
,,,百萬元營業額,,0.1980,
,,,服務,,0.0013,
,,,,,無，無統計相關數據,
,,,營業額單位:千元,,0.0058,
,,,千元營業額,,0.0047,
,,,百萬元營業額,,16.4987,
,,,百萬元營業額,,0.0417,
,,,百萬元營業額,,2.8000,
,,,百萬元營業額,,11.2450,
,,,"(千億營業額)英業達 2022 年範疇一(類別1)和範疇二(類別2)溫室氣體排放密集度為 22,276公噸CO2e /千億元",,100768.9300,
,,,百萬元營業額,,187.6100,
,,,百萬元營業額,,1.1047,
,,,千元營業額,,0.0004,
,,,百萬元營業額,,0.1995,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0007,
,,,平方公尺,,0.0655,
,,,產品,,0.0400,
,,,百萬元營業額,,12.7770,
,,,產品,,17.4693,
,,,"16,792,440千元營業額",,50791.8500,
,,,千元營業額,,0.0008,
,,,百萬元營業額,,0.2097,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.2602,
,,,百萬元營業額,,0.2580,
,,,百萬元營業額,,0.2367,
,,,百萬元營業額,,0.5017,
,,,百萬元營業額,,0.0585,
,,,千元營業額,,0.0041,
,,,百萬元營業額,,1.0400,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.1220,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產品,,6.1000,
,,,百萬元營業額,,0.4855,
,,,,,無，無統計相關數據,
,,,,,無，僅有辦公處所，無生產製造且法令無規範。,
,,,百萬元營業額,,0.5419,
,,,百萬元營業額,,2.0644,
,,,百萬元營業額,,0.0120,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0040,
,,,千顆晶粒,,0.4050,
,,,產品,,0.0510,
,,,百萬元營業額,,3.3000,
,,,百萬元營業額,,0.9129,
,,,百萬元營業額,,0.0332,
,,,百萬元營業額,,40324.2100,
,,,噸CO2e/坪,,0.2420,
,,,百萬元營業額,,21.8867,
,,,百萬元營業額,,1.8200,
,,,百萬元營業額,,13.0200,
,,,百萬元營業額,,0.4900,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,11.8000,
,,,員工人數,,0.8488,
,,,KPCS產品,,0.0056,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0400,
,,,千元營業額,,0.0004,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.5300,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.6005,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,8.8338,
,,,,,無，詳年報說明,
,,,,,無，正在導入ISO 14064-1制度，並進行碳盤查之資料彙整,
,,,億元,,1356.0000,
,,,人,,1.9153,
,,,百萬元營業額,,0.3400,
,,,百萬元營業額,,0.1951,
,,,母公司員工人數,,7.3200,
,,,產品,,15561.2413,
,,,百萬元營業額,,0.0640,
,,,每單位產品,,0.0060,
,,,,,無，無統計相關數據,
,,,,,無，詳年報說明,
,,,百萬元營業額,,0.9287,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,仟元營業額,,0.0046,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,9.5266,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0002,
,,,百萬元營業額,,25843.0368,
,,,百萬元營業額,,0.0700,
,,,營業額,,3.0408,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,5.0400,
,,,千元營業額,,0.0009,
,,,千元營業額,,0.0163,
,,,百萬元營業額,,0.1286,
,,,百萬元營業額,,1.2500,
,,,,,無，無統計相關數據,
,,,產品,,0.3070,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0017,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,1.7493,
,,,員工人數,,12.2200,
,,,千元營業額,,0.0030,
,,,,,無，無統計相關數據,
,,,"千元營業額653,954=0.0002",,151.1872,
,,,,,無，無統計相關數據,
,,,平方公尺(樓地板面積為99149.5平方公尺),,0.0600,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.2300,
,,,百萬元營業額,,0.0097,
,,,,,無，無統計相關數據,
,,,員工及商場承租戶員工人數,,14.3200,
,,,百萬元營業額,,0.0213,
,,,樓地板面積(平方公尺),,23.3400,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0140,
,,,百萬元營業額,,0.0500,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,單位:樓地板面積,,0.0045,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0123,
,,,,,無，無統計相關數據,
,,,,,無，尚未啟動,
,,,百萬元營業額,,0.9568,
,,,百萬元營業額,,0.0033,
,,,熟料產量,,0.8830,
,,,,,無，無統計相關數據,
,,,海運使用單位為g/TEU-KM， 111年為38.2 g/TEU-KM。,,0.0000,
,,,海哩,,0.3990,
,,,千元營業額,,0.0500,
,,,,,無，尚處於溫室氣體盤查階段,
,,,百萬元營業額,,9.0700,
,,,仟元個體營業收入,,0.0180,
,,,千RTK,,0.7821,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,75.4580,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,2.2800,
,,,百萬元營業額,,20.7500,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,服務,,0.7340,
,,,百萬營業額,,0.9482,
,,,延人公里,,33.9410,
,,,百萬元營業額,,2.3331,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,1.6400,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,,
,,,百萬元營業額,,1.5500,
,,,千元營業額,,21990.0000,
,,,千元營業額,,0.0093,
,,,千元營業額,,0.0077,
,,,百萬元營業額,,2.2039,
,,,百萬元營業額,,4.1353,
,,,百萬元營業額,,22.0268,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,人次,,0.0018,
,,,,,無，無統計相關數據,
,,,仟元營業額,,0.0056,
,,,總樓地板面積m2,,0.1660,
,,,百萬元營業額,,3.1100,
,,,百萬元營業額,,0.5007,
,,,單位淨收益溫室氣體排放量（ t-CO 2 e / 百萬元）,,0.4600,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0629,
,,,百萬元營業額,,0.2581,
,,,百萬元營業額,,384.9985,
,,,百萬元營業額,,0.4280,
,,,百萬元營業額,,0.7800,
,,,百萬元營業額,,1.3680,
,,,人,,2.1973,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0101,
,,,員工人數,,1.1400,
,,,人均碳排,,2.1835,
,,,百萬元營業額,,0.0877,
,,,百萬元營業額,,0.3800,
,,,百萬元營業額,,0.0840,
,,,百萬元營業額,,1.5700,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.4039,
,,,百萬元營業額,,0.4398,
,,,淨收益百萬元,,0.3601,
,,,百萬元營業額,,0.3200,
,,,百萬元營業額,,0.3121,
,,,佰萬元淨收益,,0.7500,
,,,百萬元營業額,,0.4070,
,,,每百萬淨收益,,0.3100,
,,,淨收益百萬NTD,,0.3200,
,,,新台幣仟元淨收益,,0.0005,
,,,,,無，無統計相關數據,
,,,億元營業額,,146.9400,
,,,,,無，無統計相關數據,
,,,,,無，母公司為辦公室業務為主,
,,,,,無，無統計相關數據,
,,,百萬營收,,0.0954,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,2.9200,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,1.2600,
,,,新台幣十萬元營收,,0.3800,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0800,
,,,千元營業額,,0.0020,
,,,百萬元營業額,,3.9700,
,,,百萬元營業額,,98.1600,
,,,百萬元營業額,,0.2243,
,,,,,無，無統計相關數據,
,,,仟萬元營業額,,0.6683,
,,,,,無，策劃評估中,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.4400,
,,,百萬元營業額,,1.0829,
,,,百萬元營業額,,9.3000,
,,,"溫室氣體排放總量/營業額=314,393.65 噸co2 / 56,017 TWD’M =5.6125",,5.6125,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.5700,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.3478,
,,,"20,696.16(噸)/30,574.800(新台幣百萬元,2022年營收)= 0.6769",,0.6769,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產品,,1.8100,
,,,百萬元營業額,,0.3100,
,,,百萬元營業額,,0.0365,
,,,,,無，無統計相關數據,
,,,,,無，本公司屬實收資本額23.6億元之公司，個體公司(即母公司) 及合併子公司，是分別屬於第三階段和第四階段，須於2026年和2027年完成溫室氣體盤查，目前尚無需要進行盤查。,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0132,
,,,百萬元營業額,,0.1689,
,,,百萬元營業額,,0.2900,
,,,百萬元營業額,,0.0028,
,,,百萬元營業額,,6.7100,
,,,PCS,,0.0012,
,,,,,無，無工廠，無生產行為,
,,,產品,,0.0238,
,,,產品,,0.0540,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0121,
,,,百萬元營業額,,3.9900,
,,,百萬元營業額,,0.0000,
,,,百萬元營業額,,0.2055,
,,,公噸 CO2e／營業額仟元,,0.0234,
,,,產品,,7107.8350,
,,,百萬元營業額,,7.3141,
,,,營業額以百萬計,,0.2788,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,2.9700,
,,,仟元,,0.0093,
,,,百萬元營業額,,1.3470,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,9.6740,
,,,百萬元營業額,,1.5861,
,,,以每坪碳排放量計算,,0.0363,
,,,人,,2.0460,
,,,百萬元營業額,,26.1061,
,,,產品,,87.1600,
,,,,,無，無統計相關數據,
,,,產品,,0.0799,
,,,百萬元營業額,,0.0040,
,,,百萬元營業額,,5.9700,
,,,百萬元營業額,,0.3546,
,,,百萬元營業額,,0.5866,
,,,員工人數67人,,1.5000,
,,,,,無，無統計相關數據,
,,,公噸/千元營業額,,3.3534,
,,,,,無，無統計相關數據,
,,,新台幣百萬元營業額,,13.0616,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,千元個體營收,,0.0031,
,,,111年組織溫室氣體排放總量,,4563.2800,
,,,百萬元營業額,,0.0006,
,,,人工時,,0.0028,
,,,百萬元營業額,,0.3010,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,3.8050,
,,,百萬元營業額,,0.4360,
,,,百萬元營業額,,0.6060,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.2299,
,,,百萬元營業額,,12.1578,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,2.6800,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.1230,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,14.0300,
,,,百萬元營業額,,4.8100,
,,,百萬元營業額,,0.5134,
,,,,,無，無統計相關數據,
,,,員工人數,,2.6800,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,4.9236,
,,,百萬元營業額,,0.3500,
,,,百萬元營業額,,4.7000,
,,,,,無，未進行第三方查證，資料可能不準確,
,,,百萬元營業額,,0.4528,
,,,百萬元營業額,,4.5500,
,,,百萬元營業額,,0.0700,
,,,,,無，無統計相關數據,
,,,產品重量(KG),,0.5380,
,,,百萬元營業額,,1.1953,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,1.2536,
,,,百萬元營業額,,19.1456,
,,,百萬營業額,,0.2136,
,,,百萬元營業額,,2.2900,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,49131.2600,
,,,百萬元營業額,,0.7445,
,,,千元營業額,,0.0032,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.5700,
,,,產品,,0.0820,
,,,,,無，無統計相關數據,
,,,盤查據點面積(平方米),,0.0500,
,,,百萬元營業額,,1.2616,
,,,百萬元營業額,,0.1900,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.8500,
,,,百萬元營業額,,0.8470,
,,,噸CO2e/千美金營收,,0.0810,
,,,百萬元營業額,,2.4000,
,,,晶電:9.87 (ton CO2e/晶圓產能面積m2)，隆達：3.94 (ton CO2e/晶圓產能面積m2)，晶成：97.43(ton CO2e/晶圓產能重量kg),,0.0000,
,,,百萬元營業額,,12.0700,
,,,,,,
,,,仟元營業額,,0.0002,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產品,,0.0160,
,,,,,無，詳年報說明,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,8.3688,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.1070,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,6.5962,
,,,,,無，無統計相關數據,
,,,產品,,5.6686,
,,,,,無，無統計相關數據,
,,,產品,,2.6013,
,,,,,無，無統計相關數據,
,,,產品,,0.9800,
,,,百萬元營業額,,1.0100,
,,,,,無，無統計相關數據,
,,,,,無，規劃中,
,,,百萬元營業額,,6.7800,
,,,產品,,0.0002,
,,,,,無，無,
,,,公司總面積(坪),,0.1710,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,3.1763,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,3.8700,
,,,千小時總經歷工時,,3.8916,
,,,百萬元營業額,,2.6155,
,,,千元營業額,,0.0040,
,,,百萬元營業額,,0.8000,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.8870,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,3.2600,
,,,百萬元營業額,,11.5513,
,,,營業額；單位：噸CO2e / 仟元,,0.0049,
,,,營業額(仟元單位),,0.0557,
,,,百萬元營業額,,1.8333,
,,,百萬元營業額,,2.4300,
,,,百萬元營業額,,1.4043,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,3.2700,
,,,仟元營業額,,0.0011,
,,,百萬元營業額,,0.0021,
,,,百萬元營業額,,0.5355,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,3.7500,
,,,百萬元營業額,,10.4300,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.3400,
,,,百萬元營業額,,2.5216,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.2328,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,6.3400,
,,,產能(仟米平方),,1.5360,
,,,百萬元營業額,,0.0380,
,,,百萬元營業額,,1.3200,
,,,百萬元營業額,,0.1819,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產量:噸,,6.0843,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0071,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.5104,
,,,,,無，詳年報說明,
,,,百萬元營業額,,1.6070,
,,,百萬元營業額,,1.4007,
,,,百萬元營業額,,1.8876,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,營業額(億元),,11.0090,
,,,,,無，尚在評估規畫中,
,,,百萬元營業額,,0.7956,
,,,,,無，無統計相關數據,
,,,仟元營業額,,0.0061,
,,,百萬元營業額,,4.0796,
,,,百萬元營業額,,0.2800,
,,,百萬元營業額,,0.0404,
,,,產品,,0.0100,
,,,營業額(新台幣仟元),,0.4461,
,,,百萬元營業額,,0.9496,
,,,人,,0.5400,
,,,組織員工數97人,,3.5039,
,,,百萬元營業額,,0.2600,
,,,百萬元營業額,,7.3832,
,,,百萬元營業額,,0.0008,
,,,員工人數,,1.5800,
,,,百萬元營業額,,0.0134,
,,,,,無，無統計相關數據,
,,,,,無，母公司為控股公司,
,,,,,無，無統計相關數據,
,,,,,無，因2023年為本公司盤查起始年,
,,,範疇二總排放量/辦公室人數；而船隊之溫室氣體排放強度，以範疇一總排放量/延噸海浬，得出0.0000009485。延噸海浬為載貨噸數與起訖港浬程數之乘積,,1.2660,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.3300,
,,,百萬元營業額,,34.6072,
,,,佰萬元淨收益,,0.4900,
,,,,,無，無統計相關數據,
,,,新台幣千元,,0.0103,
,,,百萬元營業額,,0.9713,
,,,百萬元營業額,,0.1680,
,,,產品,,0.0188,
,,,百萬元營業額,,0.1826,
,,,產品,,13865.2000,
,,,百萬元營業額,,20.1800,
,,,千元營業額,,0.0034,
,,,百萬元營業額,,4.5100,
,,,仟元營業額,,0.0011,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0103,
,,,仟元營業額,,1.9198,
,,,百萬元營業額,,1.2791,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0007,
,,,千元營業額,,0.0042,
,,,原物料塑膠粒投料量(公斤),,0.0129,
,,,,,無，無統計相關數據,
,,,排放(噸)/營業額(百萬),,0.5907,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,10.3796,
,,,,,無，無統計相關數據,
,,,平方公尺(樓地板面積),,0.7160,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.2500,
,,,百萬元營業額,,0.2279,
,,,百萬元營業額,,0.5400,
,,,,,無，無統計相關數據,
,,,產品-每張-銅箔基板,,0.0032,
,,,百萬元營業額,,0.1023,
,,,百萬元營業額,,0.2069,
,,,輸入電力而造成間接之溫室氣體排放,,475.4290,
,,,,,無，無統計相關數據,
,,,,,無，詳年報說明,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.3090,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,7.4000,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,7.6207,
,,,產品,,0.0890,
,,,百萬元營業額,,4.3026,
,,,百萬元營業額,,0.7000,
,,,百萬元營業額,,0.8340,
,,,百萬元營業額,,0.8480,
,,,NTD每億元營收,,169.9165,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.6700,
,,,百萬元營業額,,10.4200,
,,,,,無，無統計相關數據,
,,,單位:百萬美金營業額,,1117.0000,
,,,百萬元營業額,,0.9480,
,,,,,無，無統計相關數據,
,,,千元營業額,,0.0001,
,,,百萬元營業額,,0.2163,
,,,,,無，無統計相關數據,
,,,,,無，未達盤查標準，尚未開始盤查。,
,,,百萬元營業額,,0.3564,
,,,百萬元營業額,,0.6637,
,,,百萬元營業額,,6.0740,
,,,產品,,27.7000,
,,,,,無，無統計相關數據,
,,,萬元產值RMB,,0.3367,
,,,百萬元營業額,,0.1300,
,,,千元營業額,,0.0012,
,,,百萬元營業額,,3.0359,
,,,,,"無，本公司屬實收資本額50億元以下之 公司別，應於第三階段(115年度) 適用溫室氣體盤查及查證，本公司 之合併子公司(包含合併報表報導 個體之各子公司)應於第四階段 (116年)適用溫室氣體盤查及查 證；將持續依主管機關之參考指引 及相關規定完成設置專（兼）職單 位、各計畫項目詳細推動時程、擬 定完整盤查程序及董事會督導及控 管階段性目標等計畫內容。",
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,28.8004,
,,,百萬元營業額,,0.6430,
,,,產品,,0.0070,
,,,百萬元營業額,,0.0539,
,,,,,無，無統計相關數據,
,,,噸CO2e/新台幣仟元營收,,109.9700,
,,,,,無，無統計相關數據,
,,,產品,,0.0000,
,,,百萬元營業額,,26.6373,
,,,百萬元營業額,,0.0349,
,,,百萬元營業額,,0.2500,
,,,服務,,0.5250,
,,,產品,,0.3480,
,,,仟元,,0.0087,
,,,,,無，無統計相關數據,
,,,,,無，詳年報說明,
,,,,,無，無統計相關數據,
,,,,,無，盤查中,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.3157,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,16.6600,
,,,百萬元營業額,,0.0695,
,,,百萬元營業額,,0.9100,
,,,百萬元營業額,,4.1477,
,,,千元營業額,,0.0034,
,,,百萬元營業額,,0.2100,
,,,百萬元營業額,,0.0758,
,,,百萬元營業額,,0.0370,
,,,營業額(億元),,38.3890,
,,,千元營業額,,0.0033,
,,,百萬元營業額,,1.4830,
,,,百萬元營業額,,0.5535,
,,,百萬元營業額,,0.1600,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.5987,
,,,百萬元營業額,,0.1070,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,產品,,5.0610,
,,,百萬元營業額,,0.0300,
,,,百萬元營業額,,0.2430,
,,,百萬元營業額,,4.9700,
,,,8吋晶圓當量-層,,0.0023,
,,,產品,,1.1800,
,,,百萬元營業額,,3.9300,
,,,,,無，尚未統計，將依法規規定時程完成溫室氣體相關盤查及查證。,
,,,百萬元營業額,,0.0303,
,,,平均每位森崴員工2022年碳排放量，員工涵蓋森崴能源母公司頂埔大樓8F總部及一處台南歸仁辦公室據點,,3.7000,
,,,百萬元營業額,,0.0326,
,,,百萬元營業額,,3207.1220,
,,,,,無，尚未完成相關數據統計,
,,,,,無，無統計相關數據,
,,,,,,
,,,百萬元營業額,,13.1800,
,,,百萬元營業額,,1.9681,
,,,,,,
,,,,,無，無統計相關數據,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0420,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,0.0862,
,,,產品,,0.0510,
,,,產品,,0.0618,
,,,,,無，無統計相關數據,
,,,百萬元營業額,,4.0633,
,,,百萬元營業額,,10.0700,
,,,百萬元營業額,,2.5260,
,,,,,無，無統計相關數據,
