"報告年度:2023","議題:董事會"
"公司代號","公司名稱"," 董事會席次(席)- 董事會席次(席)","獨立董事席次(席)-獨立董事席次(席)","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率","女性董事席次及比率-席","女性董事席次及比率-比率"
"=""3426""","台興","9","3","100.00%","100.00%","1","11.00%"
"=""3430""","奇鈦科","7","4","100.00%","100.00%","2","28.57%"
"=""3434""","哲固","10","3","95.00%","50.00%","2","20.00%"
"=""3438""","類比科","7","3","100.00%","42.85%","3","42.85%"
"=""3441""","聯一光電","7","3","90.91%","100.00%","0","0.00%"
"=""3444""","利機","7","3","85.71%","100.00%","0","0.00%"
"=""3455""","由田","7","3","97.00%","100.00%","0","0.00%"
"=""3465""","進泰電子","9","3","86.81%","100.00%","3","33.33%"
"=""3466""","德晉","10","3","98.00%","100.00%","3","30.00%"
"=""3479""","安勤","9","3","93.65%","100.00%","1","11.11%"
"=""3483""","力致","7","4","97.62%","100.00%","0","0.00%"
"=""3484""","崧騰","7","3","100.00%","100.00%","1","14.29%"
"=""3489""","森寶","9","3","100.00%","100.00%","1","11.11%"
"=""3490""","單井","7","3","97.96%","100.00%","1","14.29%"
"=""3491""","昇達科","8","4","96.88%","100.00%","2","25.00%"
"=""3492""","長盛","7","3","97.62%","28.57%","1","14.29%"
"=""3498""","陽程","7","3","97.96%","100.00%","1","14.29%"
"=""3499""","環天科","9","3","88.89%","11.11%","2","22.22%"
"=""3508""","位速","8","4","82.50%","100.00%","0","0.00%"
"=""3511""","矽瑪","7","3","100.00%","100.00%","1","0.14%"
"=""3512""","皇龍","7","3","100.00%","100.00%","0","0.00%"
"=""3516""","亞帝歐","7","3","95.24%","100.00%","1","14.29%"
"=""3520""","華盈","9","3","84.51%","100.00%","2","22.22%"
"=""3521""","鴻翊","7","3","92.00%","0.50%","2","29.00%"
"=""3522""","御頂","9","3","95.12%","100.00%","0","0.00%"
"=""3523""","迎輝","7","3","88.57%","100.00%","2","28.57%"
"=""3526""","凡甲","10","3","95.00%","100.00%","1","10.00%"
"=""3527""","聚積","7","3","97.62%","100.00%","2","28.57%"
"=""3529""","力旺","9","3","95.56%","100.00%","1","11.11%"
"=""3531""","先益","9","3","96.00%","100.00%","1","11.00%"
"=""3537""","堡達","10","3","98.00%","100.00%","3","30.00%"
"=""3540""","曜越","4","4","100.00%","100.00%","0","0.00%"
"=""3541""","西柏","9","3","96.15%","88.89%","1","11.11%"
"=""3546""","宇峻","7","3","93.90%","100.00%","0","0.00%"
"=""3548""","兆利","7","4","100.00%","100.00%","1","14.29%"
"=""3551""","世禾","7","3","95.24%","100.00%","0","0.00%"
"=""3552""","同致","9","4","96.83%","100.00%","2","22.22%"
"=""3555""","博士旺","7","3","95.00%","100.00%","0","0.00%"
"=""3556""","禾瑞亞","8","4","100.00%","50.00%","2","25.00%"
"=""3558""","神準","7","3","100.00%","100.00%","0","0.00%"
"=""3564""","其陽","9","3","97.78%","100.00%","2","22.22%"
"=""3567""","逸昌","7","3","100.00%","100.00%","0","0.00%"
"=""3570""","大塚","10","3","100.00%","100.00%","2","20.00%"
"=""3577""","泓格","7","4","100.00%","100.00%","3","42.86%"
"=""3580""","友威科","7","3","100.00%","100.00%","0","0.00%"
"=""3581""","博磊","7","3","96.00%","86.00%","0","0.00%"
"=""3587""","閎康","8","4","96.00%","100.00%","1","12.50%"
"=""3594""","磐儀","8","4","94.59%","100.00%","1","12.50%"
"=""3597""","映興","7","3","100.00%","100.00%","2","28.57%"
"=""3609""","三一東林","7","3","90.00%","100.00%","1","14.29%"
"=""3611""","鼎翰","7","3","98.00%","100.00%","1","14.30%"
"=""3615""","安可","7","3","85.71%","100.00%","1","14.29%"
"=""3623""","富晶通","9","3","96.00%","100.00%","2","22.22%"
"=""3624""","光頡","9","3","100.00%","100.00%","1","11.00%"
"=""3625""","西勝","8","4","91.16%","87.50%","0","0.00%"
"=""3628""","盈正","9","3","100.00%","100.00%","1","11.11%"
"=""3629""","地心引力","7","3","100.00%","100.00%","1","14.00%"
"=""3630""","新鉅科","8","3","93.75%","100.00%","0","0.00%"
"=""3631""","晟楠","8","4","76.67%","100.00%","1","12.50%"
"=""3632""","研勤","7","3","91.43%","100.00%","1","14.29%"
"=""3646""","艾恩特","8","3","93.94%","37.50%","3","37.50%"
"=""3663""","鑫科","7","3","91.83%","100.00%","2","28.57%"
"=""3664""","安瑞-KY","7","3","98.70%","100.00%","2","28.57%"
"=""3666""","光耀","7","3","95.24%","100.00%","1","14.29%"
"=""3672""","康聯訊","9","3","94.44%","88.88%","1","11.11%"
"=""3675""","德微","7","3","100.00%","100.00%","3","43.00%"
"=""3680""","家登","8","4","98.21%","100.00%","0","0.00%"
"=""3684""","榮昌","9","3","92.59%","100.00%","5","55.55%"
"=""3685""","元創精密","7","3","88.57%","100.00%","1","14.29%"
"=""3687""","歐買尬","7","3","97.14%","100.00%","1","14.29%"
"=""3689""","湧德","9","3","95.24%","100.00%","1","22.22%"
"=""3691""","碩禾","11","4","94.31%","100.00%","1","9.09%"
"=""3693""","營邦","6","3","95.83%","100.00%","1","16.67%"
"=""3707""","漢磊","9","3","94.44%","100.00%","1","11.11%"
"=""3709""","鑫聯大投控","7","3","96.83%","100.00%","0","0.00%"
"=""3710""","連展投控","9","3","93.06%","100.00%","0","0.00%"
"=""3713""","新晶投控","9","4","95.24%","55.56%","2","22.22%"
"=""4102""","永日","9","3","97.22%","100.00%","1","11.11%"
"=""4105""","東洋","9","3","100.00%","10.33%","2","22.22%"
"=""4107""","邦特","12","3","100.00%","83.33%","3","25.00%"
"=""4109""","加捷生醫","9","3","97.00%","89.00%","3","33.00%"
"=""4111""","濟生","11","3","96.36%","100.00%","4","36.36%"
"=""4113""","聯上","7","4","97.22%","93.75%","2","28.57%"
