"報告年度:2023","議題:董事會"
"公司代號","公司名稱"," 董事會席次(席)- 董事會席次(席)","獨立董事席次(席)-獨立董事席次(席)","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率","女性董事席次及比率-席","女性董事席次及比率-比率"
"=""8927""","北基","10","3","96.25%","100.00%","4","40.00%"
"=""8928""","鉅明","9","3","100.00%","100.00%","2","22.00%"
"=""8929""","富堡","7","3","91.43%","57.14%","1","14.29%"
"=""8930""","青鋼","8","4","94.59%","87.50%","3","37.50%"
"=""8931""","大汽電","7","3","94.00%","100.00%","0","0.00%"
"=""8932""","智通","9","3","94.55%","100.00%","1","11.11%"
"=""8933""","愛地雅","7","3","89.29%","100.00%","0","0.00%"
"=""8935""","邦泰","7","3","96.83%","10.00%","1","10.00%"
"=""8936""","國統","9","4","100.00%","100.00%","2","22.22%"
"=""8937""","合騏","7","3","86.00%","100.00%","3","43.00%"
"=""8938""","明安","8","4","95.00%","100.00%","2","25.00%"
"=""8941""","關中","9","3","92.98%","100.00%","1","11.11%"
"=""8942""","森鉅","9","3","100.00%","100.00%","0","0.00%"
"=""9949""","琉園","7","3","90.48%","71.43%","1","14.29%"
"=""9950""","萬國通","7","4","97.83%","0.00%","1","14.29%"
"=""9951""","皇田","9","4","75.93%","83.33%","3","33.33%"
"=""9960""","邁達康","6","3","100.00%","100.00%","2","33.33%"
"=""9962""","有益","9","3","100.00%","22.22%","1","11.11%"
