"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體-數據(公噸CO₂e)","直接(範疇一)溫室氣體-資料邊界","直接(範疇一)溫室氣體-確信範圍","能源間接(範疇二)溫室氣體-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體-資料邊界","能源間接(範疇二)溫室氣體-確信範圍","其他間接(範疇三)溫室氣體-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體-資料邊界","其他間接(範疇三)溫室氣體-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""2235""","謚源","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2596""","綠意","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2640""","大車隊","0.0000","母公司","N/A","265.3600","母公司","N/A","N/A","N/A","N/A",""
"=""2641""","正德","1,280.1321","正德海運母公司+船隊","N/A","52.1136","正德海運(高雄市苓雅區海邊路31號3樓)","N/A","77,225.2427","船隊(燃油)","N/A","58.7565"
"=""2643""","捷迅","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2718""","晶悅","N/A","N/A","N/A","104.3600","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","0.0480"
"=""2719""","燦星旅","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2724""","藝舍-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2726""","雅茗-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2729""","瓦城","N/A","N/A","N/A","19,004.0000","總部、廠房及全台門店","N/A","N/A","N/A","N/A","3.3245"
"=""2732""","六角","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.9700"
"=""2734""","易飛網","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2736""","富野","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2740""","天蔥","N/A","N/A","N/A","1,053.8610","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A",""
"=""2743""","山富","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2745""","五福","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2752""","豆府","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2754""","亞洲藏壽司","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2755""","揚秦","947.1770","僅母公司 包含桃園總部、中南區物流中心及旗下四大品牌（麥味登、炸雞大獅、REAL及涮金鍋）全省直營門市","僅母公司 包含桃園總部、中南區物流中心及旗下四大品牌（麥味登、炸雞大獅、REAL及涮金鍋）全省直營門市","2,101.1471","僅母公司 包含桃園總部、中南區物流中心及旗下四大品牌（麥味登、炸雞大獅、REAL及涮金鍋）全省直營門市","僅母公司 包含桃園總部、中南區物流中心及旗下四大品牌（麥味登、炸雞大獅、REAL及涮金鍋）全省直營門市","N/A","N/A","N/A","1.4163"
"=""2756""","聯發國際","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2916""","滿心","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2924""","宏太-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2926""","誠品生活","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2937""","集雅社","198.9447","合併","N/A","654.8489","合併","N/A","N/A","N/A","N/A","0.2101"
"=""2941""","米斯特","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2947""","振宇五金","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2948""","寶陞","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2949""","欣新網","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3064""","泰偉","N/A","N/A","N/A","221.4030","母公司","N/A","N/A","N/A","N/A",""
"=""3066""","李洲","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3067""","全域","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3071""","協禧","111.7400","台灣總部(高雄市新光路38號34-35樓)、中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","台灣總部(高雄市新光路38號34-35樓)、中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","3,403.1200","台灣總部(高雄市新光路38號34-35樓)、中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","台灣總部(高雄市新光路38號34-35樓)、中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","23,261.0200","台灣總部(高雄市新光路38號34-35樓)、中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","台灣總部(高雄市新光路38號34-35樓)、中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","1.4700"
"=""3073""","天方能源","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3078""","僑威","319.2726","僑威總公司","N/A","343.4326","僑威總公司","N/A","N/A","N/A","N/A","0.0608"
"=""3081""","聯亞","474.7100","本公司各廠區(一、二廠)","N/A","9,609.4800","本公司各廠區(一、二廠)","N/A","1,919.2200","本公司各廠區(一、二廠)","N/A","9.5500"
"=""3083""","網龍","N/A","N/A","N/A","308.4910","母公司","N/A","1.8000","母公司","N/A","1.1242"
"=""3085""","新零售","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3086""","華義","1.1000","母公司及分公司","N/A","116.9800","母公司及分公司","N/A","N/A","N/A","N/A",""
"=""3088""","艾訊","1,972.3861","母公司","N/A","1,875.8267","母公司","N/A","N/A","N/A","N/A",""
"=""3093""","港建*","N/A","N/A","N/A","318.0000","母公司","N/A","N/A","N/A","N/A",""
"=""3095""","及成","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3105""","穩懋","36,261.0000","母公司","母公司","108,701.0000","母公司","母公司","54,460.0000","母公司","母公司","9.7500"
"=""3114""","好德","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3115""","富榮綱","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3118""","進階","84.7800","1、鍋爐與備用發電機使用之柴油，屬台北區域。 2、公務貨車所使用之汽油，屬台北(含新竹區)、台中、高雄(含台南)區域。","N/A","837.1400","此資料統計範圍為台北總公司，主要來自台灣電力公司之用電量。","N/A","N/A","N/A","N/A","1.3970"
