"報告年度:2023","議題:能源管理"
"公司代號","公司名稱","再生能源使用率-再生能源使用率","資料範圍-資料範圍","驗證標準-取得驗證"
"=""3630""","新鉅科","N/A","N/A","N/A"
"=""3631""","晟楠","N/A","N/A","N/A"
"=""3632""","研勤","N/A","N/A","N/A"
"=""3646""","艾恩特","N/A","N/A","N/A"
"=""3663""","鑫科","N/A","N/A","N/A"
"=""3664""","安瑞-KY","N/A","N/A","N/A"
"=""3666""","光耀","N/A","N/A","N/A"
"=""3672""","康聯訊","N/A","N/A","N/A"
"=""3675""","德微","N/A","N/A","N/A"
"=""3680""","家登","N/A","N/A","ISO 50001"
"=""3684""","榮昌","N/A","N/A","N/A"
"=""3685""","元創精密","N/A","N/A","N/A"
"=""3687""","歐買尬","N/A","N/A","N/A"
"=""3689""","湧德","N/A","N/A","N/A"
"=""3691""","碩禾","N/A","N/A","N/A"
"=""3693""","營邦","N/A","N/A","N/A"
"=""3707""","漢磊","0.8000%","母公司","N/A"
"=""3709""","鑫聯大投控","N/A","N/A","N/A"
"=""3710""","連展投控","N/A","N/A","N/A"
"=""3713""","新晶投控","N/A","N/A","N/A"
"=""4102""","永日","N/A","N/A","N/A"
"=""4105""","東洋","N/A","N/A","N/A"
"=""4107""","邦特","N/A","N/A","N/A"
"=""4109""","加捷生醫","N/A","N/A","N/A"
"=""4111""","濟生","N/A","N/A","N/A"
"=""4113""","聯上","N/A","N/A","N/A"
"=""4114""","健喬","N/A","N/A","N/A"
"=""4116""","明基醫","N/A","N/A","N/A"
"=""4120""","友華","N/A","N/A","N/A"
"=""4121""","優盛","N/A","N/A","N/A"
"=""4123""","晟德","N/A","N/A","N/A"
"=""4126""","太醫","0.0000%","全公司","N/A"
"=""4127""","天良","N/A","N/A","N/A"
"=""4128""","中天","N/A","N/A","N/A"
"=""4129""","聯合","0.0000%","全公司","N/A"
"=""4130""","健亞","N/A","N/A","N/A"
"=""4131""","浩泰","N/A","N/A","N/A"
"=""4138""","曜亞","N/A","N/A","N/A"
"=""4139""","馬光-KY","N/A","N/A","N/A"
"=""4147""","中裕","N/A","N/A","N/A"
"=""4153""","鈺緯","N/A","N/A","N/A"
"=""4154""","樂威科-KY","N/A","N/A","N/A"
"=""4157""","太景*-KY","0.0000%","太景台灣","N/A"
"=""4160""","訊聯基因","N/A","N/A","N/A"
"=""4161""","聿新科","N/A","N/A","N/A"
"=""4162""","智擎","N/A","N/A","N/A"
"=""4163""","鐿鈦","N/A","N/A","N/A"
"=""4167""","松瑞藥","N/A","N/A","N/A"
"=""4168""","醣聯","N/A","N/A","N/A"
"=""4171""","瑞基","N/A","N/A","N/A"
"=""4173""","久裕","N/A","N/A","N/A"
"=""4174""","浩鼎","N/A","N/A","N/A"
"=""4175""","杏一","N/A","N/A","N/A"
"=""4183""","福永生技","N/A","N/A","N/A"
"=""4188""","安克","N/A","N/A","N/A"
"=""4192""","杏國","N/A","N/A","N/A"
"=""4198""","欣大健康","N/A","N/A","N/A"
"=""4205""","中華食","N/A","N/A","N/A"
"=""4207""","環泰","N/A","N/A","N/A"
"=""4303""","信立","N/A","N/A","N/A"
"=""4304""","勝昱","N/A","N/A","N/A"
"=""4305""","世坤","N/A","N/A","N/A"
"=""4401""","東隆興","2.6800%","2023年太陽能板發電量為1,645,660kw/h,約佔東隆用電量61,452,460kw/h之2.68%	","ISO 50001"
"=""4402""","福大","N/A","N/A","N/A"
"=""4406""","新昕纖","N/A","N/A","N/A"
"=""4413""","飛寶企業","N/A","N/A","N/A"
"=""4416""","三圓","N/A","N/A","N/A"
"=""4417""","金洲","0.0000%","母子公司","N/A"
"=""4419""","元勝","N/A","N/A","N/A"
"=""4420""","光明","N/A","N/A","N/A"
"=""4430""","耀億","N/A","N/A","N/A"
"=""4432""","銘旺實","N/A","N/A","N/A"
"=""4433""","興采","N/A","N/A","N/A"
"=""4442""","竣邦-KY","N/A","N/A","N/A"
"=""4502""","健信","N/A","N/A","N/A"
"=""4503""","金雨","N/A","N/A","N/A"
"=""4506""","崇友","N/A","N/A","N/A"
"=""4510""","高鋒","N/A","N/A","N/A"
"=""4513""","福裕","N/A","N/A","N/A"
"=""4523""","永彰","N/A","N/A","N/A"
"=""4527""","方方土霖","N/A","N/A","N/A"
"=""4528""","江興鍛","N/A","N/A","N/A"
"=""4529""","淳紳","N/A","N/A","N/A"
"=""4530""","宏易","N/A","N/A","N/A"
"=""4533""","協易機","N/A","N/A","N/A"
"=""4534""","慶騰","N/A","N/A","N/A"
"=""4535""","至興","N/A","N/A","ISO 50001"
"=""4538""","大詠城","N/A","N/A","N/A"
"=""4541""","晟田","N/A","N/A","N/A"
"=""4542""","科嶠","N/A","N/A","N/A"
"=""4543""","萬在","N/A","N/A","N/A"
"=""4549""","桓達","N/A","N/A","N/A"
"=""4550""","長佳","N/A","N/A","N/A"
"=""4554""","橙的","N/A","N/A","N/A"
"=""4556""","旭然","N/A","N/A","N/A"
"=""4558""","寶緯","N/A","N/A","N/A"
"=""4561""","健椿","N/A","N/A","ISO 50001"
"=""4563""","百德","N/A","N/A","N/A"
"=""4568""","科際精密","N/A","N/A","N/A"
"=""4577""","達航科技","N/A","N/A","N/A"
"=""4580""","捷流閥業","N/A","N/A","N/A"
"=""4584""","君帆","N/A","N/A","N/A"
"=""4609""","唐鋒","N/A","N/A","N/A"
"=""4702""","中美實","0.0000%","母公司","N/A"
"=""4706""","大恭","N/A","N/A","N/A"
"=""4707""","磐亞","N/A","N/A","N/A"
"=""4711""","永純","N/A","N/A","N/A"
"=""4714""","永捷","0.0000%","包含合併財務報表之母子公司","N/A"
"=""4716""","大立","N/A","N/A","N/A"
"=""4721""","美琪瑪","N/A","N/A","其他(確信準則3000號)"
"=""4726""","永昕","N/A","N/A","N/A"
"=""4728""","雙美","N/A","N/A","N/A"
"=""4729""","熒茂","N/A","N/A","ISO 50001"
"=""4735""","豪展","N/A","N/A","N/A"
"=""4741""","泓瀚","N/A","N/A","N/A"
"=""4743""","合一","1.4444%","包含合併財務報表之母子公司","N/A"
"=""4744""","皇將","N/A","N/A","N/A"
"=""4745""","合富-KY","N/A","N/A","N/A"
"=""4747""","強生製藥","N/A","N/A","N/A"
"=""4754""","國碳科","N/A","N/A","N/A"
"=""4760""","勤凱科技","N/A","N/A","N/A"
"=""4767""","誠泰科技","N/A","N/A","N/A"
"=""4768""","晶呈科技","N/A","N/A","其他(確信準則3000號)"
"=""4804""","大略-KY","N/A","N/A","N/A"
"=""4806""","昇華","N/A","N/A","N/A"
"=""4903""","聯光通","N/A","N/A","N/A"
"=""4905""","台聯電","N/A","N/A","N/A"
"=""4907""","富宇","N/A","N/A","N/A"
"=""4908""","前鼎","N/A","N/A","N/A"
"=""4909""","新復興","N/A","N/A","N/A"
"=""4911""","德英","N/A","N/A","N/A"
"=""4923""","力士","N/A","N/A","N/A"
"=""4924""","欣厚-KY","N/A","N/A","N/A"
"=""4931""","新盛力","N/A","N/A","N/A"
"=""4933""","友輝","N/A","N/A","N/A"
"=""4939""","亞電","N/A","N/A","N/A"
"=""4945""","陞達科技","N/A","N/A","N/A"
"=""4946""","辣椒","N/A","N/A","N/A"
"=""4951""","精拓科","N/A","N/A","N/A"
"=""4953""","緯軟","N/A","本公司武漢大樓之太陽能板自發用電已經自動從電費單中(盤查清冊中)扣掉，故無特別統計。","N/A"
"=""4966""","譜瑞-KY","N/A","N/A","N/A"
"=""4971""","IET-KY","N/A","N/A","N/A"
"=""4972""","湯石照明","N/A","N/A","N/A"
"=""4973""","廣穎電通","N/A","N/A","N/A"
"=""4974""","亞泰","N/A","N/A","N/A"
"=""4979""","華星光","N/A","N/A","N/A"
"=""4987""","科誠","N/A","N/A","N/A"
"=""4991""","環宇-KY","N/A","N/A","N/A"
"=""4995""","晶達","N/A","N/A","N/A"
"=""5009""","榮剛","0.0000%","母公司，排除租賃資產","ISO 50001"
"=""5011""","久陽","N/A","N/A","N/A"
"=""5013""","強新","N/A","N/A","N/A"
"=""5014""","建錩","N/A","N/A","N/A"
"=""5015""","華祺","N/A","N/A","N/A"
"=""5016""","松和","0.0005%","僅母公司","N/A"
"=""5201""","凱衛","N/A","N/A","N/A"
"=""5202""","力新","N/A","N/A","N/A"
"=""5205""","中茂","N/A","N/A","N/A"
"=""5206""","坤悅","N/A","N/A","N/A"
"=""5209""","新鼎","N/A","N/A","N/A"
"=""5210""","寶碩","N/A","N/A","N/A"
"=""5211""","蒙恬","N/A","N/A","N/A"
"=""5212""","凌網","N/A","N/A","N/A"
"=""5213""","亞昕","N/A","N/A","N/A"
"=""5220""","萬達光電","5.8300%","母公司","N/A"
"=""5227""","立凱-KY","N/A","N/A","N/A"
"=""5228""","鈺鎧","N/A","N/A","N/A"
"=""5230""","雷笛克光學","N/A","N/A","N/A"
"=""5236""","凌陽創新","N/A","N/A","N/A"
"=""5245""","智晶","N/A","N/A","N/A"
"=""5251""","天鉞電","N/A","N/A","N/A"
"=""5263""","智崴","N/A","N/A","N/A"
"=""5272""","笙科","N/A","N/A","N/A"
"=""5274""","信驊","N/A","N/A","N/A"
"=""5276""","達輝-KY","N/A","N/A","N/A"
"=""5278""","尚凡","N/A","N/A","N/A"
"=""5287""","數字","N/A","N/A","N/A"
"=""5289""","宜鼎","11.3000%","僅母公司","N/A"
"=""5291""","邑昇","N/A","N/A","ISO 50001"
"=""5299""","杰力","N/A","N/A","N/A"
"=""5301""","寶得利","N/A","N/A","N/A"
"=""5302""","太欣","N/A","N/A","N/A"
"=""5309""","系統電","N/A","N/A","N/A"
"=""5310""","天剛","N/A","N/A","N/A"
"=""5312""","寶島科","N/A","N/A","N/A"
"=""5314""","世紀","N/A","N/A","N/A"
"=""5315""","光聯","N/A","N/A","ISO 50001"
"=""5321""","美而快","N/A","N/A","N/A"
