"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""3426""","台興","3","3","100.00%","3","100.00%"
"=""3430""","奇鈦科","4","4","100.00%","4","100.00%"
"=""3434""","哲固","3","3","100.00%","3","100.00%"
"=""3438""","類比科","3","3","100.00%","3","100.00%"
"=""3441""","聯一光電","3","3","100.00%","3","91.67%"
"=""3444""","利機","3","3","100.00%","3","100.00%"
"=""3455""","由田","3","3","100.00%","3","100.00%"
"=""3465""","進泰電子","3","3","91.67%","3","88.89%"
"=""3466""","德晉","3","3","93.00%","3","94.00%"
"=""3479""","安勤","3","3","100.00%","3","94.44%"
"=""3483""","力致","3","3","93.33%","4","95.00%"
"=""3484""","崧騰","3","3","100.00%","3","100.00%"
"=""3489""","森寶","3","2","88.89%","3","100.00%"
"=""3490""","單井","3","3","100.00%","3","100.00%"
"=""3491""","昇達科","4","4","91.67%","4","93.75%"
"=""3492""","長盛","3","3","100.00%","3","94.44%"
"=""3498""","陽程","3","2","100.00%","3","100.00%"
"=""3499""","環天科","3","2","100.00%","3","83.33%"
"=""3508""","位速","3","3","100.00%","4","90.00%"
"=""3511""","矽瑪","3","3","100.00%","3","100.00%"
"=""3512""","皇龍","3","3","100.00%","3","100.00%"
"=""3516""","亞帝歐","3","3","83.33%","3","88.89%"
"=""3520""","華盈","3","3","100.00%","3","100.00%"
"=""3521""","鴻翊","3","3","100.00%","3","100.00%"
"=""3522""","御頂","3","3","95.24%","3","96.30%"
"=""3523""","迎輝","3","2","100.00%","3","100.00%"
"=""3526""","凡甲","3","2","100.00%","3","100.00%"
"=""3527""","聚積","3","3","100.00%","3","100.00%"
"=""3529""","力旺","3","3","100.00%","3","100.00%"
"=""3531""","先益","3","3","100.00%","3","100.00%"
"=""3537""","堡達","3","3","100.00%","3","100.00%"
"=""3540""","曜越","3","3","100.00%","4","100.00%"
"=""3541""","西柏","3","3","100.00%","3","100.00%"
"=""3546""","宇峻","3","3","100.00%","3","100.00%"
"=""3548""","兆利","3","3","100.00%","4","100.00%"
"=""3551""","世禾","3","3","100.00%","3","100.00%"
"=""3552""","同致","3","3","100.00%","4","95.24%"
"=""3555""","博士旺","3","3","94.00%","3","95.00%"
"=""3556""","禾瑞亞","3","3","100.00%","4","100.00%"
"=""3558""","神準","3","3","100.00%","3","100.00%"
"=""3564""","其陽","3","3","100.00%","3","100.00%"
"=""3567""","逸昌","3","3","100.00%","3","100.00%"
"=""3570""","大塚","3","3","100.00%","3","100.00%"
"=""3577""","泓格","4","4","100.00%","4","100.00%"
"=""3580""","友威科","3","3","100.00%","3","100.00%"
"=""3581""","博磊","3","2","100.00%","3","100.00%"
"=""3587""","閎康","4","4","100.00%","4","93.00%"
"=""3594""","磐儀","3","3","100.00%","4","94.12%"
"=""3597""","映興","3","3","100.00%","3","100.00%"
"=""3609""","三一東林","3","3","100.00%","3","100.00%"
"=""3611""","鼎翰","3","3","100.00%","3","100.00%"
"=""3615""","安可","3","3","88.89%","3","91.67%"
"=""3623""","富晶通","3","3","100.00%","3","100.00%"
"=""3624""","光頡","3","3","100.00%","3","100.00%"
"=""3625""","西勝","4","4","100.00%","4","96.00%"
"=""3628""","盈正","3","3","100.00%","3","100.00%"
"=""3629""","地心引力","3","3","100.00%","3","100.00%"
"=""3630""","新鉅科","3","3","83.33%","3","91.67%"
"=""3631""","晟楠","4","4","100.00%","4","85.71%"
"=""3632""","研勤","3","3","77.78%","3","80.00%"
"=""3646""","艾恩特","3","3","100.00%","3","100.00%"
"=""3663""","鑫科","3","3","100.00%","3","94.44%"
"=""3664""","安瑞-KY","3","3","100.00%","3","96.67%"
"=""3666""","光耀","3","3","100.00%","3","94.44%"
"=""3672""","康聯訊","3","3","100.00%","3","100.00%"
"=""3675""","德微","3","3","100.00%","3","100.00%"
"=""3680""","家登","3","2","100.00%","4","100.00%"
"=""3684""","榮昌","3","3","100.00%","3","93.33%"
"=""3685""","元創精密","3","3","83.33%","3","93.33%"
"=""3687""","歐買尬","3","3","100.00%","3","93.33%"
"=""3689""","湧德","3","3","100.00%","3","100.00%"
"=""3691""","碩禾","4","4","100.00%","4","90.63%"
"=""3693""","營邦","3","3","100.00%","3","100.00%"
"=""3707""","漢磊","3","3","100.00%","3","100.00%"
"=""3709""","鑫聯大投控","3","3","93.33%","3","91.67%"
"=""3710""","連展投控","3","3","100.00%","3","95.24%"
"=""3713""","新晶投控","4","4","100.00%","4","100.00%"
"=""4102""","永日","3","3","100.00%","3","100.00%"
"=""4105""","東洋","4","3","100.00%","3","100.00%"
"=""4107""","邦特","3","3","100.00%","3","88.89%"
"=""4109""","加捷生醫","3","3","100.00%","3","100.00%"
"=""4111""","濟生","3","3","100.00%","3","100.00%"
"=""4113""","聯上","3","3","100.00%","4","100.00%"
"=""4114""","健喬","4","4","100.00%","4","100.00%"
"=""4116""","明基醫","3","3","100.00%","3","100.00%"
"=""4120""","友華","3","2","100.00%","4","96.00%"
"=""4121""","優盛","4","4","100.00%","4","83.33%"
"=""4123""","晟德","3","3","100.00%","3","96.30%"
"=""4126""","太醫","3","2","100.00%","4","100.00%"
"=""4127""","天良","3","3","100.00%","3","100.00%"
"=""4128""","中天","3","3","100.00%","4","100.00%"
"=""4129""","聯合","3","3","100.00%","4","100.00%"
"=""4130""","健亞","3","3","100.00%","3","100.00%"
"=""4131""","浩泰","3","3","100.00%","3","96.00%"
"=""4138""","曜亞","3","3","89.00%","3","93.00%"
"=""4139""","馬光-KY","3","3","100.00%","3","100.00%"
"=""4147""","中裕","3","3","100.00%","3","100.00%"
"=""4153""","鈺緯","3","3","100.00%","3","100.00%"
"=""4154""","樂威科-KY","3","3","83.33%","3","83.33%"
"=""4157""","太景*-KY","3","3","66.67%","3","90.48%"
"=""4160""","訊聯基因","3","3","91.67%","3","91.67%"
"=""4161""","聿新科","3","3","100.00%","3","100.00%"
"=""4162""","智擎","3","3","100.00%","3","100.00%"
