"報告年度:2023","議題:持股及控制力"
"=""3287""","廣寰科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3287_20240625F17.pdf"
"=""3288""","點晶","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3288_20240611F17.pdf"
"=""3289""","宜特","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3289_20240614F17.pdf"
"=""3290""","東浦","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3290_20240613F17.pdf"
"=""3293""","鈊象","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3293_20240624F17.pdf"
"=""3294""","英濟","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3294_20240607F17.pdf"
"=""3297""","杭特","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3297_20240529F17.pdf"
"=""3303""","岱稜","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3303_20240524F17.pdf"
"=""3306""","鼎天","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3306_20240612F17.pdf"
"=""3310""","佳穎","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3310_20240612F17.pdf"
"=""3313""","斐成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3313_20240524F17.pdf"
"=""3317""","尼克森","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3317_20240613F17.pdf"
"=""3322""","建舜電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3322_20240612F17.pdf"
"=""3323""","加百裕","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3323_20240613F17.pdf"
"=""3324""","雙鴻","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3324_20240524F17.pdf"
"=""3325""","旭品","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3325_20240627F17.pdf"
"=""3332""","幸康","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3332_20240529F17.pdf"
"=""3339""","泰谷","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3339_20240619F17.pdf"
"=""3349""","寶德","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3349_20240627F17.pdf"
"=""3354""","律勝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3354_20240620F17.pdf"
"=""3357""","臺慶科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3357_20240531F17.pdf"
"=""3360""","尚立","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3360_20240607F17.pdf"
"=""3362""","先進光","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3362_20240620F17.pdf"
"=""3363""","上詮","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3363_20240530F17.pdf"
"=""3372""","典範","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3372_20240612F17.pdf"
"=""3373""","熱映","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3373_20240612F17.pdf"
"=""3374""","精材","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3374_20240530F17.pdf"
"=""3379""","彬台","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3379_20240624F17.pdf"
"=""3388""","崇越電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3388_20240531F17.pdf"
"=""3390""","旭軟","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3390_20240613F17.pdf"
"=""3402""","漢科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3402_20240627F17.pdf"
"=""3426""","台興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3426_20240530F17.pdf"
"=""3430""","奇鈦科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3430_20240614F17.pdf"
"=""3434""","哲固","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3434_20240613F17.pdf"
"=""3438""","類比科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3438_20240531F17.pdf"
"=""3441""","聯一光電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3441_20240529F17.pdf"
"=""3444""","利機","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3444_20240613F17.pdf"
"=""3455""","由田","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3455_20240612F17.pdf"
"=""3465""","進泰電子","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3465_20240627F17.pdf"
"=""3466""","德晉","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3466_20240605F17.pdf"
"=""3479""","安勤","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3479_20240612F17.pdf"
"=""3483""","力致","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3483_20240529F17.pdf"
"=""3484""","崧騰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3484_20240625F17.pdf"
"=""3489""","森寶","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3489_20240531F17.pdf"
"=""3490""","單井","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3490_20240529F17.pdf"
"=""3491""","昇達科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3491_20240619F17.pdf"
"=""3492""","長盛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3492_20240620F17.pdf"
"=""3498""","陽程","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3498_20240614F17.pdf"
"=""3499""","環天科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3499_20240605F17.pdf"
"=""3508""","位速","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3508_20240627F17.pdf"
"=""3511""","矽瑪","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3511_20240607F17.pdf"
"=""3512""","皇龍","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3512_20240613F17.pdf"
"=""3516""","亞帝歐","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3516_20240618F17.pdf"
"=""3520""","華盈","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3520_20240625F17.pdf"
"=""3521""","鴻翊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3521_20240627F17.pdf"
"=""3522""","御頂","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3522_20240627F17.pdf"
"=""3523""","迎輝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3523_20240626F17.pdf"
"=""3526""","凡甲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3526_20240619F17.pdf"
"=""3527""","聚積","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3527_20240620F17.pdf"
"=""3529""","力旺","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3529_20240619F17.pdf"
"=""3531""","先益","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3531_20240612F17.pdf"
"=""3537""","堡達","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3537_20240625F17.pdf"
"=""3540""","曜越","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3540_20240617F17.pdf"
"=""3541""","西柏","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3541_20240620F17.pdf"
"=""3546""","宇峻","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3546_20240626F17.pdf"
"=""3548""","兆利","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3548_20240618F17.pdf"
"=""3551""","世禾","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3551_20240627F17.pdf"
"=""3552""","同致","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3552_20240620F17.pdf"
"=""3555""","博士旺","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3555_20240524F17.pdf"
"=""3556""","禾瑞亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3556_20240529F17.pdf"
"=""3558""","神準","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3558_20240530F17.pdf"
"=""3564""","其陽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3564_20240614F17.pdf"
"=""3567""","逸昌","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3567_20240613F17.pdf"
"=""3570""","大塚","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3570_20240621F17.pdf"
"=""3577""","泓格","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3577_20240613F17.pdf"
"=""3580""","友威科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3580_20240527F17.pdf"
"=""3581""","博磊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3581_20240611F17.pdf"
"=""3587""","閎康","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3587_20240614F17.pdf"
"=""3594""","磐儀","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3594_20240627F17.pdf"
"=""3597""","映興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3597_20240527F17.pdf"
"=""3609""","三一東林","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3609_20240619F17.pdf"
"=""3611""","鼎翰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3611_20240618F17.pdf"
"=""3615""","安可","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3615_20240621F17.pdf"
"=""3623""","富晶通","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3623_20240619F17.pdf"
"=""3624""","光頡","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3624_20240625F17.pdf"
"=""3625""","西勝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3625_20240627F17.pdf"
"=""3628""","盈正","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3628_20240625F17.pdf"
"=""3629""","地心引力","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3629_20240614F17.pdf"
"=""3630""","新鉅科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3630_20240624F17.pdf"
"=""3631""","晟楠","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3631_20240628F17.pdf"
"=""3632""","研勤","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3632_20240626F17.xls"
"=""3646""","艾恩特","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3646_20240614F17.pdf"
"=""3663""","鑫科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3663_20240410F17.pdf"
"=""3664""","安瑞-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3664_20240624F17.pdf"
"=""3666""","光耀","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3666_20240624F17.pdf"
"=""3672""","康聯訊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3672_20240618F17.pdf"
"=""3675""","德微","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3675_20240628F17.pdf"
"=""3680""","家登","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3680_20240524F17.pdf"
"=""3684""","榮昌","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3684_20240521F17.pdf"
"=""3685""","元創精密","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3685_20240530F17.pdf"
"=""3687""","歐買尬","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3687_20240621F17.pdf"
"=""3689""","湧德","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3689_20240618F17.pdf"
"=""3691""","碩禾","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3691_20240607F17.pdf"
"=""3693""","營邦","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3693_20240627F17.pdf"
"=""3707""","漢磊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3707_20240614F17.pdf"
"=""3709""","鑫聯大投控","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3709_20240530F17.pdf"
"=""3710""","連展投控","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3710_20240626F17.pdf"
"=""3713""","新晶投控","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3713_20240627F17.pdf"
"=""4102""","永日","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_4102_20240530F17.pdf"
"=""4105""","東洋","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_4105_20240530F17.pdf"
"=""4107""","邦特","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_4107_20240619F17.pdf"
"=""4109""","加捷生醫","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_4109_20240619F17.pdf"
"=""4111""","濟生","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_4111_20240613F17.pdf"
"=""4113""","聯上","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_4113_20240625F17.pdf"
