"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""3217""","優群","0.0000","5.1000","5.1000","母公司","0.0017","廢棄物量/百萬元營業額","ISO 14001"
"=""3218""","大學光","0.0000","0.1700","0.1700","母公司","0.0053","廢棄物量/百萬元營業額","N/A"
"=""3219""","倚強科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3221""","台嘉碩","11.2988","73.7290","85.0278","母公司","0.0446","廢棄物量/百萬元營業額","ISO 14001"
"=""3224""","三顧","3,521.9600","N/A","3,521.9600","母公司","N/A","N/A","N/A"
"=""3226""","至寶電","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3227""","原相","0.2150","0.7600","0.9750","母公司","0.0018","其他(人均/噸)","N/A"
"=""3228""","金麗科","0.0000","2.5764","2.5764","僅母公司(112/1~112/12)","0.0326","其他(廢棄物總值/員工數)","N/A"
"=""3230""","錦明","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3232""","昱捷","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3234""","光環","N/A","N/A","N/A","N/A","0.1300","廢棄物量/百萬元營業額","N/A"
"=""3236""","千如","40.1500","167.8500","208.0000","台灣楊梅一廠、台灣楊梅二廠、上海廠、廣州廠、馬來西亞廠","0.1245","廢棄物量/百萬元營業額","N/A"
"=""3252""","海灣","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3259""","鑫創","N/A","N/A","0.1230","母公司","0.0004","廢棄物量/百萬元營業額","N/A"
"=""3260""","威剛","0.0000","129.6140","129.6140","台北總公司、中和一廠、中和二廠 ","0.0038","廢棄物量/百萬元營業額","N/A"
"=""3264""","欣銓","6.0000","884.0000","890.0000","欣銓總部、子公司(新加坡、韓國、南京及全智科技)","0.0600","廢棄物量/百萬元營業額","N/A"
"=""3265""","台星科","1,909.6900","407.1300","2,316.8200","包含合併財務報表之母子公司","0.6317","廢棄物量/百萬元營業額","N/A"
"=""3268""","海德威","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3272""","東碩","N/A","N/A","33.0000","東碩集團","N/A","N/A","ISO 14001"
"=""3276""","宇環","2,500.7000","217.9000","2,718.6000","子公司-志昱","2.1080","廢棄物量/百萬元營業額","N/A"
"=""3284""","太普高","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3285""","微端","0.0120","3.1190","3.1310","母公司","0.0042","廢棄物量/百萬元營業額","N/A"
"=""3287""","廣寰科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3288""","點晶","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3289""","宜特","8.4200","46.5498","54.9698","竹科一廠/竹科二廠/埔頂廠/德安廠","0.0161","廢棄物量/百萬元營業額","N/A"
"=""3290""","東浦","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3293""","鈊象","0.6900","46.1600","46.8500","新北市五股區五工路130號","N/A","N/A","N/A"
"=""3294""","英濟","N/A","N/A","N/A","N/A","N/A","N/A","ISO 9001,ISO 14001"
"=""3297""","杭特","0.0000","0.0000","0.0000","包含合併財務報表之母子公司","0.0000","廢棄物量/百萬元營業額","N/A"
"=""3303""","岱稜","422.0220","1,408.7530","1,830.7750","台灣台南所有廠區","4.5281","其他(公斤/千米平方面積)","ISO 14001"
"=""3306""","鼎天","0.0000","42.3304","42.3304","鼎天國際股份有限公司","0.0328","廢棄物量/百萬元營業額","N/A"
"=""3310""","佳穎","N/A","N/A","24.8540","N/A","N/A","N/A","N/A"
"=""3313""","斐成","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3317""","尼克森","N/A","12.0777","12.0777","母公司","0.0049","廢棄物量/百萬元營業額","N/A"
"=""3322""","建舜電","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3323""","加百裕","7.7200","134.8800","142.6000","龍潭廠","0.0197","廢棄物量/百萬元營業額","N/A"
"=""3324""","雙鴻","0.0000","35.6450","35.6450","涵蓋台北營運總部（母公司）","0.2804","廢棄物量/百萬元營業額","N/A"
"=""3325""","旭品","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3332""","幸康","0.0000","0.7850","0.7850","彰化福興廠","0.0006","廢棄物量/百萬元營業額","ISO 14001"
