"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""6156""","松上","1,309.1100","1,246.3200","2,555.4300","松上總公司及三家中國子公司(東莞、湖北、蘇州)","0.7800","廢棄物量/百萬元營業額","N/A"
"=""6158""","禾昌","90.4905","323.3730","413.8635","母公司+子公司","N/A","N/A","ISO 14001"
"=""6160""","欣技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6161""","捷波","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6163""","華電網","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6167""","久正","0.0632","79.4221","79.4853","僅母公司","N/A","N/A","ISO 14001"
"=""6169""","昱泉","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6170""","統振","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6171""","大城地產","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6173""","信昌電","1,015.8830","513.9560","1,529.8390","母公司台灣工廠","0.5741","其他(百萬產值)","N/A"
"=""6174""","安碁","4.5845","14.9380","19.5225","母公司","N/A","N/A","ISO 14001"
"=""6175""","立敦","0.0000","1,787.3230","1,787.3230","立敦集團合併財務報表之母子公司","0.4859","廢棄物量/百萬元營業額","N/A"
"=""6179""","亞通","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6180""","橘子","N/A","80.5300","80.5300","母公司及子公司所有在台營運據點","0.0082","廢棄物量/百萬元營業額","其他(GRI 306-3)"
"=""6182""","合晶","47.2100","200.4100","247.6200","台灣龍潭廠與楊梅廠","0.2794","廢棄物量/服務","N/A"
"=""6185""","幃翔","0.0000","3.8300","3.8300","僅母公司","0.0160","廢棄物量/百萬元營業額","ISO 14001"
"=""6186""","新潤","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6187""","萬潤","0.0000","14.1300","14.1300","母公司路竹廠","0.0100","廢棄物量/百萬元營業額","N/A"
"=""6188""","廣明","N/A","1,128.6500","1,128.6500","包含合併報表之母子公司","N/A","N/A","N/A"
"=""6190""","萬泰科","N/A","N/A","236.8000","台北公司與中壢工廠","0.0849","廢棄物量/百萬元營業額","N/A"
"=""6194""","育富","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6195""","詩肯","N/A","69,121.0000","69,121.0000","總公司、台中倉","45.5269","廢棄物量/百萬元營業額","N/A"
"=""6198""","瑞築","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6199""","天品","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6203""","海韻電","5.4000","65.2300","70.6300","揭露邊界為：海韻電子台灣總部與東莞海韻，以銷售業務為主之「深圳源立」、「SSA」及「SSE」由使用者進行回收。","0.0210","廢棄物量/百萬元營業額","N/A"
"=""6204""","艾華","0.2620","1.5720","1.8340","僅母公司","0.0063","廢棄物量/百萬元營業額","N/A"
"=""6207""","雷科","0.0000","418.5390","418.5390","高雄總公司、高雄臨廣五廠區","0.5098","廢棄物量/百萬元營業額","ISO 14001"
"=""6208""","日揚","5.6300","23.5000","29.1300","各廠區","0.0114","廢棄物量/百萬元營業額","ISO 14001"
"=""6210""","慶生","374.8050","81.3943","456.1993","慶生電子股份有限公司-全廠區(2023年度)","1.5056","廢棄物量/百萬元營業額","ISO 14001"
"=""6212""","理銘","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6217""","中探針","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6218""","豪勉","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6219""","富旺","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6220""","岳豐","0.0000","161.2600","161.2600","台灣母公司(不含台北辦事處)","0.0200","廢棄物量/百萬元營業額","N/A"
"=""6221""","晉泰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6222""","上揚","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6223""","旺矽","21.7830","321.8113","343.5943","旺矽科技股份有限公司 (竹北一廠、竹北二廠、竹北三廠、新埔廠、湖口廠、路竹廠)","0.0509","廢棄物量/百萬元營業額","ISO 14001"
"=""6227""","茂綸","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6228""","全譜","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6229""","研通","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""6231""","系微","0.0000","20.2600","20.2600","台灣辦公室","0.0183","廢棄物量/百萬元營業額","N/A"
"=""6233""","旺玖","0.0000","0.7100","0.7100","僅母公司，包含台北總公司及新竹分公司；子公司無實質營運情形不適用。","0.0020","廢棄物量/百萬元營業額","N/A"
"=""6234""","高僑","N/A","19.1346","19.1346","僅母公司","N/A","N/A","N/A"
"=""6236""","中湛","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6237""","驊訊","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6240""","松崗","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6241""","易通展","N/A","1.2617","1.2617","僅母公司","0.0020","廢棄物量/百萬元營業額","ISO 14001"
"=""6242""","立康","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6244""","茂迪","1,080.6600","185.1008","1,265.7608","茂迪台灣廠區","0.0035","廢棄物量/產品","N/A"
"=""6245""","立端","4.1600","53.5120","57.6720","僅母公司","N/A","N/A","N/A"
"=""6246""","臺龍","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6248""","沛波","1,049.6000","22.9000","1,072.5000","僅母公司","N/A","N/A","N/A"
"=""6259""","百徽","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6261""","久元","0.0000","74.3062","74.3062","僅母公司","2.0025","廢棄物量/產品","ISO 14001"
"=""6263""","普萊德","0.0000","7.1300","7.1300","母公司","0.0039","廢棄物量/百萬元營業額","N/A"
"=""6264""","富裔","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6265""","方土昶","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6266""","泰詠","13.1010","64.7768","77.8777","依三聯單申報之數據","N/A","N/A","N/A"
"=""6270""","倍微","N/A","7.9000","7.9000","本公司為電子零組件通路商，非屬製造業，營運性質不含產品之製造與生產，產品分包配送上均採精簡環保包裝，並適時使用回收包裝材料，廢棄物以日常辦公所產生的非有害廢棄物，因此未列為本公司重大議題，處理方式依廠辦大樓規定處理。","N/A","N/A","N/A"
"=""6274""","台燿","407.0000","595.0000","1,002.0000","母公司","0.1325","廢棄物量/百萬元營業額","N/A"
"=""6275""","元山","4.3800","23.5500","27.9300","僅母公司","N/A","N/A","N/A"
"=""6276""","安鈦克","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6279""","胡連","42.0469","2,685.0369","2,727.0838","涵蓋合併財務報表之母子公司","0.3720","廢棄物量/百萬元營業額","ISO 14001"
"=""6284""","佳邦","325.7600","506.4300","832.1900","佳邦科技及子公司(禾邦電子(蘇州)/禾邦電子(中國)/湖南弘電)","N/A","N/A","N/A"
"=""6287""","元隆","68.4400","70.4900","138.9300","母公司(新竹市東區研發二路14、16、18、20號)","N/A","N/A","ISO 14001"
"=""6290""","良維","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6291""","沛亨","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6292""","迅德","0.0000","2.5050","2.5050","僅母公司","0.0018","廢棄物量/百萬元營業額","N/A"
"=""6294""","智基","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6411""","晶焱","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6417""","韋僑","328.0000","15.0000","343.0000","僅母公司","0.2413","廢棄物量/百萬元營業額","N/A"
"=""6418""","詠昇","0.0000","0.5000","0.5000","僅母公司","0.0006","廢棄物量/百萬元營業額","N/A"
"=""6419""","京晨科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6425""","易發","N/A","47.0600","47.0600","生活廢棄物","N/A","N/A","N/A"
"=""6432""","今展科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6435""","大中","N/A","N/A","2.7800","包含合併財務報表之母子公司","N/A","N/A","N/A"
"=""6441""","廣錠","0.0000","22.8700","22.8700","蘆竹廠+汐止廠","0.0335","廢棄物量/百萬元營業額","N/A"
"=""6457""","紘康","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6461""","益得","6.9500","10.2000","17.1500","母公司","N/A","N/A","N/A"
"=""6462""","神盾","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6465""","威潤","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6469""","大樹","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6470""","宇智","1.1220","10.9200","12.0420","湖口廠","N/A","N/A","ISO 14001"
"=""6482""","弘煜科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6485""","點序","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6486""","互動","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6488""","環球晶","8,258.2703","26,307.3657","34,565.6360","台灣區：環球晶圓總部&竹南廠、中德分公司 海外區：GlobalWafers Japan Co., Ltd.、昆山中辰矽晶、MEMC Electronic Materials S.p.A、MEMC Korea Company、MEMC LLC、MEMC Japan Ltd.、GlobiTech Incorporated.、MEMC Electronic Materials Sdn. Bhd.、Topsil GlobalWafers A/S","0.4890","廢棄物量/百萬元營業額","ISO 14001"
"=""6492""","生華科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6494""","九齊","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6496""","科懋","6.8900","0.0000","6.8900","本公司(D-2409廢藥品)+科進&科明(D-2409一般事業廢物、廢藥品類及C-0301易燃性事業廢棄物)","0.0089","廢棄物量/百萬元營業額","N/A"
"=""6499""","益安","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""6506""","雙邦","313.9000","10,703.1000","11,017.0000","母公司","7.4742","廢棄物量/百萬元營業額","ISO 9001"
"=""6508""","惠光","0.0000","94.2400","94.2400","母公司","N/A","N/A","N/A"
"=""6509""","聚和","0.2300","692.9500","693.1800","台灣大發廠","184.5664","廢棄物量/百萬元營業額","N/A"
"=""6510""","精測","484.6300","302.8490","787.4790","本公司桃園營運據點","0.2730","廢棄物量/百萬元營業額","ISO 14001"
"=""6512""","啟發電","0.0000","2.8770","2.8770","僅為啟發電子於新竹縣竹北市辦公區域,為辦公室一般生活廢棄物。","N/A","N/A","N/A"
"=""6516""","勤崴國際","N/A","0.3383","0.3383","勤崴國際科技股份有限公司所在地台北市羅斯福路二段100號4F","N/A","N/A","N/A"
"=""6517""","保勝光學","13.4000","11.4800","24.8800","保勝光學股份有限公司","N/A","N/A","N/A"
"=""6523""","達爾膚","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6527""","明達醫","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6530""","創威","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6532""","瑞耘","0.0000","36.9080","36.9080","瑞耘科技位於台灣的新竹廠及新豐廠(母公司)","0.0532","廢棄物量/百萬元營業額","N/A"
"=""6535""","順藥","0.2400","N/A","0.2400","包含合併財務報表之母子公司","0.0038","廢棄物量/百萬元營業額","N/A"
"=""6538""","倉和","8.2200","26.9600","35.1800"," 僅母公司","N/A","N/A","N/A"
"=""6542""","隆中","N/A","2.1180","2.1180","母公司","0.0057","廢棄物量/百萬元營業額","N/A"
"=""6546""","正基","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6547""","高端疫苗","11.0500","0.0000","11.0500","竹北生物製劑廠","0.0283","廢棄物量/百萬元營業額","N/A"
"=""6548""","長科*","9,664.0000","6,749.0000","16,413.0000","包含合併財務報表之母子公司","1.4172","廢棄物量/百萬元營業額","N/A"
"=""6556""","勝品","7.2850","0.6210","7.9060","統計資料僅限桃園廠區(含子公司泰勝)","N/A","N/A","N/A"
"=""6560""","欣普羅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6561""","是方","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6568""","宏觀","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6569""","醫揚","0.0000","69.9200","69.9200","112/1/1-112/12/31","0.0468","廢棄物量/百萬元營業額","其他(於GHG Protocol 範疇三C5 營運產生廢棄物的處置與處理做驗證)"
"=""6570""","維田","0.1200","0.0440","0.1640","事業廢棄物委託共同處理管制遞送三聯單。","N/A","N/A","N/A"
"=""6574""","霈方","0.0000","1.5100","1.5100","工廠","0.0026","廢棄物量/百萬元營業額","N/A"
"=""6576""","逸達","2.3500","8.2100","10.5600","母公司","0.0540","廢棄物量/百萬元營業額","N/A"
"=""6577""","勁豐","N/A","26.5760","26.5760","台北辦公室及桃園青埔廠。","0.0105","廢棄物量/百萬元營業額","ISO 14001"
"=""6578""","達邦蛋白","0.0000","7.2700","7.2700","僅母公司","0.0189","廢棄物量/百萬元營業額","N/A"
"=""6584""","南俊國際","31.5200","1,300.0780","1,331.5980","母公司( 雲科一、二及三廠)","1.1072","廢棄物量/百萬元營業額","ISO 14001"
"=""6588""","東典","N/A","1.5000","1.5000","母公司","0.0139","廢棄物量/百萬元營業額","N/A"
"=""6589""","台康生技","7.3638","49.0784","56.4422","汐止總公司及竹北分公司","N/A","N/A","N/A"
"=""6590""","普鴻","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6593""","台灣銘板","4.9280","45.6575","50.5855","林口廠+新莊廠","0.0001","廢棄物量/百萬元營業額","ISO 14001"
"=""6596""","寬宏藝術","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6603""","富強鑫","0.0000","38.1440","38.1440","112/1~112/12","N/A","N/A","N/A"
"=""6609""","瀧澤科","0.0000","141.0000","141.0000","112/1/1-112/12/31","0.0642","廢棄物量/百萬元營業額","N/A"
"=""6612""","奈米醫材","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6613""","朋億*","0.3500","5.7500","6.1000","母公司","0.0380","其他(員工平均人數)","ISO 14001"
"=""6615""","慧智","5.0830","26.0975","31.1805","僅母公司","0.0678","廢棄物量/百萬元營業額","N/A"
"=""6616""","特昇-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6617""","共信-KY","N/A","0.5020","0.5020","子公司共信醫藥科技股份有限公司-實驗室","N/A","N/A","N/A"
"=""6624""","萬年清","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6629""","泰金-KY","450.2700","495.1900","945.4600","合併財報子公司","7.9814","廢棄物量/百萬元營業額","其他(2023 年廢棄物和未使用材料管理法律)"
"=""6637""","醫影","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6640""","均華","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6642""","富致","13.7300","17.8700","31.6000","僅母公司","0.0836","廢棄物量/百萬元營業額","N/A"
"=""6643""","M31","0.0000","3.5370","3.5370","員工生活廢棄物重量","N/A","N/A","N/A"
"=""6649""","台生材","0.0519","0.1948","0.2467","醫療廠廢棄物申報資訊","0.0034","廢棄物量/百萬元營業額","N/A"
"=""6651""","全宇昕","1.9187","0.0157","1.9344","全宇昕科技","0.0014","廢棄物量/百萬元營業額","ISO 14001"
"=""6654""","天正國際","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6661""","威健生技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6662""","樂斯科","N/A","N/A","242.0000","N/A","N/A","N/A","N/A"
"=""6664""","群翊","0.0000","22.7650","22.7650","僅母公司","0.0098","廢棄物量/百萬元營業額","N/A"
"=""6667""","信紘科","0.0316","17.2590","17.2906","母公司","0.0075","廢棄物量/百萬元營業額","N/A"
"=""6679""","鈺太","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6680""","鑫創電子","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6683""","雍智科技","1.1800","0.4600","1.6400","母公司台灣","0.0012","廢棄物量/百萬元營業額","N/A"
"=""6684""","安格","N/A","8.3200","8.3200","僅統計新竹竹北總部。台北辦公室為辦公大樓(垃圾統一集中丟棄)，無法實際計算用量，故未列入統計。","N/A","N/A","N/A"
"=""6690""","安碁資訊","0.0000","28.6589","28.6589","包含合併財務報表之母子公司 ","0.0155","廢棄物量/百萬元營業額","N/A"
"=""6692""","進能服","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6693""","廣閎科","0.0000","0.2090","0.2090","母公司-新竹縣竹北市台元二街8號8樓、6號8樓之3","0.0002","廢棄物量/百萬元營業額","其他(ISO14064-3)"
"=""6697""","東捷資訊","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6703""","軒郁","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6708""","天擎","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6712""","長聖","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6716""","應廣","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6721""","信實","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6727""","亞泰金屬","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6728""","上洋","N/A","N/A","42.0000","總公司辦公室、第2辦公室及倉庫等三個處所之廢棄物統計。","0.0154","廢棄物量/百萬元營業額","N/A"
"=""6732""","昇佳電子","1.6400","8.2400","9.8800","昇佳電子(新竹總部)","N/A","N/A","N/A"
"=""6733""","博晟生醫","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6735""","美達科技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6741""","91APP*-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6747""","亨泰光","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6751""","智聯服務","0.0000","1.8738","1.8738","包含合併財務報表之母子公司","0.0011","廢棄物量/百萬元營業額","N/A"
"=""6752""","叡揚","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6761""","穩得","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6762""","達亞","0.0000","6.9367","6.9367","本公司地理邊界為範圍，鑑別現有廠房為資料邊界, 112年因擴建新廠活動，112年排放量統計包含地理邊界內之南上廠及擴建之南山廠","0.0000","廢棄物量/產品","N/A"
"=""6763""","綠界科技","0.0000","25.5024","25.5024","僅母公司","0.0165","廢棄物量/百萬元營業額","N/A"
"=""6767""","台微醫","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6785""","昱展新藥","N/A","N/A","1.3726","N/A","N/A","N/A","N/A"
"=""6788""","華景電","0.0000","28.2000","28.2000","母公司","N/A","N/A","ISO 14001"
"=""6791""","虎門科技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6803""","崑鼎","N/A","N/A","4.7860","組織總部","44.3000","其他(公斤/人)","N/A"
"=""6804""","明係","17.9930","182.9200","200.9130","僅母公司。","0.0001","其他(公噸/千元營業額)","N/A"
"=""6811""","宏碁資訊","0.0000","4.9968","4.9968","包含合併財務報表之母子公司","0.0007","廢棄物量/百萬元營業額","N/A"
"=""6821""","聯寶","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6823""","濾能","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6829""","千附精密","9.1900","414.1800","423.3700","千附精密公司","0.3136","廢棄物量/百萬元營業額","N/A"
"=""6840""","東研信超","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6841""","長佳智能","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6843""","進典","0.0000","58.7000","58.7000","幼獅1~2廠","0.0617","廢棄物量/百萬元營業額","N/A"
"=""6844""","諾貝兒","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6846""","綠茵","0.0000","78.4300","78.4300","包含合併財務報表之母子公司","N/A","N/A","N/A"
"=""6855""","數泓科","0.0000","3.5230","3.5230","單一廠房","0.0007","廢棄物量/百萬元營業額","N/A"
"=""6856""","鑫傳","N/A","N/A","0.0000","母公司及合併財務報表之子公司(鑫傳.鑫祺.鑫隆.人誠.永敘)","N/A","N/A","N/A"
"=""6859""","伯特光","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6865""","偉康科技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6870""","騰雲","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6874""","倍力","0.0000","4.2170","4.2170","台北總公司","0.0030","廢棄物量/百萬元營業額","N/A"
"=""6875""","國邑*","0.5500","0.0000","0.5500","實驗室","N/A","N/A","N/A"
"=""6877""","鏵友益","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6881""","潤德","0.0000","361.8350","361.8350","辦公室及各工地","0.2377","廢棄物量/百萬元營業額","N/A"
"=""6894""","衛司特","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6895""","宏碩系統","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6899""","創為精密","1.2260","247.8400","249.0660","母公司","0.2900","廢棄物量/百萬元營業額","N/A"
"=""6903""","巨漢","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6904""","伯鑫","0.0000","82.8300","82.8300","母公司","0.1248","廢棄物量/百萬元營業額","N/A"
"=""6922""","宸曜","0.0000","0.2630","0.2630","母公司","0.0003","廢棄物量/百萬元營業額","N/A"
"=""6929""","佑全","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6953""","家碩","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""7402""","邑錡","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""7556""","意德士科技","0.4856","1.8943","2.3799","涵蓋新竹營業點及廠區","0.0046","廢棄物量/百萬元營業額","N/A"
"=""8024""","佑華","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8027""","鈦昇","0.0000","12.0000","12.0000","母公司:橫山路61號、69號、69-8號","0.0104","廢棄物量/百萬元營業額","N/A"
"=""8032""","光菱","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8034""","榮群","0.0000","0.0650","0.0650","新竹總公司","0.0001","廢棄物量/百萬元營業額","N/A"
"=""8038""","長園科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8040""","九暘","0.3800","N/A","0.3800","新竹及汐止辦公室","0.0005","廢棄物量/百萬元營業額","N/A"
"=""8042""","金山電","89.6600","592.6300","682.2900","母公司及海外實體子公司","0.2136","廢棄物量/百萬元營業額","N/A"
"=""8043""","蜜望實","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8044""","網家","N/A","N/A","1,783.7000","將除倉儲區以外將總公司廢棄物處理量納入統計","N/A","N/A","N/A"
"=""8047""","星雲","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8048""","德勝","0.5870","1.5900","2.1770","僅母公司","0.0012","廢棄物量/百萬元營業額","其他(行政院環境保護署事業廢棄物管制中心收受證明)"
"=""8049""","晶采","0.2380","5.1000","5.3380","2023/1/1-2023/12/31","0.0026","廢棄物量/百萬元營業額","N/A"
"=""8050""","廣積","4.8920","34.4830","39.3750","母公司","0.0079","廢棄物量/百萬元營業額","N/A"
"=""8054""","安國","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8059""","凱碩","0.0000","8.8100","8.8100","母公司","0.0158","廢棄物量/百萬元營業額","N/A"
"=""8064""","東捷","N/A","44.1100","44.1100","母公司","0.0271","廢棄物量/百萬元營業額","ISO 14001"
"=""8066""","來思達","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8067""","志旭","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8068""","全達","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8069""","元太","626.2000","1,903.8000","2,530.0000","全球廠區","93.3000","廢棄物量/百萬元營業額","ISO 14001"
"=""8071""","能率網通","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8074""","鉅橡","0.0000","868.0700","868.0700","僅母公司","0.0495","廢棄物量/產品","N/A"
"=""8076""","伍豐","0.0000","22.4350","22.4350","母公司","0.0119","廢棄物量/百萬元營業額","N/A"
"=""8077""","洛碁","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8080""","印鉐","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8083""","瑞穎","N/A","N/A","84.0000","N/A","N/A","N/A","N/A"
"=""8084""","巨虹","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8085""","福華","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8086""","宏捷科","720.2100","29.6000","749.8100","宏捷科技南科大利廠","0.0092","廢棄物量/產品","ISO 14001"
"=""8087""","華鎂鑫","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8088""","品安","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8089""","康全電訊","0.0360","N/A","0.0360","臺灣總公司","N/A","N/A","N/A"
"=""8091""","翔名","41.7700","280.0400","321.8100","僅母公司","0.1783","廢棄物量/百萬元營業額","ISO 14001"
"=""8092""","建暐","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8093""","保銳","0.0010","0.0000","0.0010","統計環保署申報資料","N/A","N/A","N/A"
"=""8096""","擎亞","0.0000","1.5490","1.5490","辦公室生活垃圾統計數字","0.6200","其他(人均重量31公斤/以公司常設50人計)","N/A"
"=""8097""","常珵","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8099""","大世科","0.0000","8.3840","8.3840","大世科及子公司之一般廢棄物、辦公室廢棄物、文件水銷、資訊物品報廢","0.0020","廢棄物量/百萬元營業額","N/A"
"=""8107""","大億金茂","0.0000","8.4000","8.4000","母公司","N/A","N/A","N/A"
"=""8109""","博大","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8111""","立碁","0.7700","46.8510","47.6210","僅母公司","0.0708","廢棄物量/百萬元營業額","ISO 14001"
"=""8121""","越峰","89.1970","2,133.8010","2,222.9980","桃園廠、昆山廠及廣州廠","0.1700","其他(公噸/產品)","ISO 14001"
"=""8147""","正淩","N/A","47.4500","47.4500","母公司","0.0633","廢棄物量/百萬元營業額","N/A"
"=""8155""","博智","3,434.0000","619.0000","4,053.0000","2023年度廢棄物申報資料","1.4000","廢棄物量/百萬元營業額","ISO 9001,ISO 14001"
"=""8171""","天宇","0.0000","15.4650","15.4650","鋁、雜鋁、家庭鋁、雜鐵、混合五金","0.0169","廢棄物量/百萬元營業額","N/A"
"=""8176""","智捷","0.0000","0.2090","0.2090","生活及研發廢棄物","0.0875","廢棄物量/產品","N/A"
"=""8182""","加高","4.6970","45.1000","49.7970","母公司","0.0184","廢棄物量/百萬元營業額","N/A"
"=""8183""","精星","8.3803","14.1600","22.5403","本次組織邊界係設定於台灣精星科技股份有限公司的營運範圍所產生之溫室氣體排放。營運範圍登記住址為新竹縣湖口鄉鳳凰村實踐路12號，廠地面積為6628 m2，建築物面積為11137.94 m2","0.0464","廢棄物量/百萬元營業額","N/A"
"=""8227""","巨有科技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8234""","新漢","11.3860","34.1800","45.5660","工廠(不含母公司與子公司)","0.0070","廢棄物量/百萬元營業額","N/A"
"=""8240""","華宏","1.0804","353.5260","354.6064","母公司","0.0969","廢棄物量/百萬元營業額","ISO 9001,ISO 14001"
